selection_priority,selection_stage,selection_reason,relevance_rank,relevance_score,confidence,title,authors,year,doi,url,venue,sources,study_type,contribution_types,contexts,hard_exclude,screening_status,reason,abstract,study_key,full_text_access_url,access_note
1,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado pela aderência direta entre prompt injection, conteúdo HTML externo e tarefa de extração de informações. Também apresenta avaliação experimental e mecanismo de defesa, aproximando-se fortemente do cenário de REN/extração sobre entrada não confiável.",1,0.99,0.99,Disrupting Large Language Models with Hidden Prompt Injection Attacks Embedded in HTML Pages,"Dinu, Ionuţ-Vlăduţ and Danciu, Gabriel-Mihail and Vintilă, Raul Cristian and Bălan, Titus-Constantin",2025,10.1109/optim-acemp62776.2025.11075247,,2025 International Aegean Conference on Electrical Machines and Power Electronics (ACEMP) & 2025 International Conference on Optimization of Electrical and Electronic Equipment (OPTIM),IEEE,PRIMARY_ATTACK_AND_DEFENSE,ATTACK; BENCHMARK; DATASET; DEFENSE; EVALUATION; MITIGATION,EMAIL; EXTERNAL_CONTENT; GENERAL_LLM; HTML; INFORMATION_EXTRACTION; UNTRUSTED_INPUT; WEB,False,EVALUATED,"O estudo investiga diretamente prompt injection oculto em HTML durante extração de informações de fontes web e e-mails, contexto fortemente alinhado à revisão. Constrói documentos de avaliação, mede ASR em múltiplas arquiteturas e propõe filtragem do conteúdo comprometido como defesa.","This research evaluates the reliability of Large Language Models (LLMs) as collaborative tools for extracting information from various web sources, including standard websites, e-commerce platforms, blogs, landing pages, or even e-mails, where the content is much shorter and the processing language models have a higher chance of getting attacked. Prior to conducting model assessments, we present some methodologies involved in web-scraping approaches, prompt injection attack types, and datasets that evaluate the attack success rate (ASR) of LLMs. Our investigation subjects LLMs to rigorous testing using HTML pages containing concealed instructions designed to terminate response generation when users make queries. The evaluation dataset consists of HTML documents of varying sizes, containing randomly positioned prompt injection attacks programmed to direct the LLM to respond with a single specific key word. Using this benchmark, we assess locally deployed LLM models, revealing their ASR across multiple architectures. The defensive mechanism we propose demonstrates a significant reduction in ASR through the implementation of a filtering system with fixed-sized windows of tokens that analyzes HTML content and eliminates compromised data, reducing the success rate of the attacks, which proved to reduce the ASR.",doi:10.1109/optim-acemp62776.2025.11075247,,
2,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado como estudo de indirect prompt injection em documentos externos. O cenário de manuscritos processados por LLM é transferível para sistemas que recebem documentos não confiáveis e o estudo reúne ataque, avaliação e mecanismos de integridade.",1,0.99,0.98,Exploiting large language models in peer review: indirect prompt injection attacks and integrity probes,Federico TorrielliStefano LocciAmon RappLuigi Di Caro,2026,10.1007/s11192-026-05695-x,https://link.springer.com/article/10.1007/s11192-026-05695-x,Scientometrics,Springer,PRIMARY_ATTACK_AND_DEFENSE,ATTACK; DETECTION; EVALUATION; FRAMEWORK,DOCUMENT_PROCESSING; EXTERNAL_CONTENT; GENERAL_LLM; UNTRUSTED_INPUT,False,EVALUATED,"O estudo investiga diretamente prompt injection indireto em manuscritos e avalia payloads ofensivos e mecanismos de verificação de integridade. O resumo descreve amplo protocolo experimental, métricas de sucesso e contexto de processamento documental, indicando contribuição muito alta para ataques, vetores e detecção.","Large language models are beginning to enter peer review as tools for summarizing manuscripts, drafting evaluations, and reducing reviewer workload. Yet this use creates a security problem specific to evaluative settings: the manuscript being judged can also contain hidden instructions that shape the model’s judgment. We investigate this risk through indirect prompt injection, where hidden text embedded in a manuscript is processed like a benign prompt by a public chatbot during review generation. We introduce an Author-Reviewer-Organizer framework that distinguishes author-side manipulation from organizer-side integrity checks, and use it to evaluate both offensive payloads, which steer reviews toward positive or negative judgments, and integrity-probing payloads, which trigger refusal, watermarking, or external-site redirection. The redirection payload is introduced here as a novel integrity-check mechanism. In experiments on 100 OpenReview papers, two public chatbot systems, five payload families, two custom prompt approaches, three injection positions, and five repeated runs per condition, we generate 42000 model outputs. Hidden instructions are highly effective: positive steering, refusal, and external-site redirection exceed 98% success on both systems; watermarking remains high but less reliable, reaching 94.27% on ChatGPT and 88.17% on Gemini; and negative steering is near-ceiling on ChatGPT but lower on Gemini. Vulnerability varies with payload design, model, and document position. These findings show that current models exhibit “contextual blindness”: they do not reliably separate manuscript content from embedded control text. This weakness threatens the validity of AI-assisted review, while also creating a dual-use channel that organizers may repurpose for detection. Peer-review systems that rely on public LLMs therefore require stronger safeguards between document content and instructions before they can be trusted in evaluative workflows.",doi:10.1007/s11192-026-05695-x,,
3,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Substitui o estudo anteriormente alocado na prioridade 3. Foi selecionado por tratar diretamente da detecção de prompt injection, incluindo ataques adaptativos, e por apresentar avaliação em múltiplos benchmarks e LLMs. Acrescenta evidência experimental forte para as questões sobre detecção e defesa. Há versão pública disponível no arXiv.",16,0.96,0.99,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,"Liu, Yupei and Jia, Yuqi and Jia, Jinyuan and Song, Dawn and Gong, Neil Zhenqiang",2025,10.1109/sp61157.2025.00250,,2025 IEEE Symposium on Security and Privacy (SP),IEEE,DETECTION,DEFENSE; DETECTION; EVALUATION; FRAMEWORK,AGENT; CYBERSECURITY; GENERAL_LLM; UNTRUSTED_INPUT,False,EVALUATED,Prompt injection é o foco explícito e o DataSentinel propõe detecção robusta inclusive contra ataques adaptativos por meio de otimização minimax. A avaliação em múltiplos benchmarks e LLMs é diretamente relevante para detecção e defesa contra injeção de prompts.,"LLM-integrated applications and agents are vulnerable to prompt injection attacks, where an attacker injects prompts into their inputs to induce attacker-desired outputs. A detection method aims to determine whether a given input is contaminated by an injected prompt. However, existing detection methods have limited effectiveness against state-of-the-art attacks, let alone adaptive ones. In this work, we propose DataSentinel, a game-theoretic method to detect prompt injection attacks. Specifically, DataSentinel fine-tunes an LLM to detect inputs contaminated with injected prompts that are strategically adapted to evade detection. We formulate this as a minimax optimization problem, with the objective of fine-tuning the LLM to detect strong adaptive attacks. Furthermore, we propose a gradient-based method to solve the minimax optimization problem by alternating between the inner max and outer min problems. Our evaluation results on multiple benchmark datasets and LLMs show that DataSentinel effectively detects both existing and adaptive prompt injection attacks. Our code and data are available at: https://github.com/liu00222/Open-Prompt-Injection.",doi:10.1109/sp61157.2025.00250,https://arxiv.org/pdf/2504.11358,Versão pública verificada no arXiv.
4,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por fornecer visão sistêmica de prompt injection em entradas, retrieval, ferramentas e memória, juntamente com taxonomia, avaliação empírica e comparação de mitigações. Serve como estudo estruturante para ataques e defesas.",1,0.99,1.0,"Prompt Injection as a Systemic Vulnerability in LLM-Based Tools: Threat Models, Empirical Analysis, and Mitigation Strategies","Tripathi, Mukesh Mani and Dhital, Damodar and Aryal, Himal",2026,10.1109/sera69989.2026.11618608,,"2026 IEEE/ACIS 24th International Conference on Software Engineering Research, Management and Applications (SERA)",IEEE,PRIMARY_ATTACK_AND_DEFENSE,ATTACK; DEFENSE; EVALUATION; FRAMEWORK; MITIGATION; TAXONOMY,AGENT; EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"Prompt injection é o foco central, com modelo de ameaça para entradas de usuário, retrieval, ferramentas e memória, além de taxonomia de vetores e avaliação controlada em chatbots, RAG e agentes. O estudo também realiza ablação de seis mitigações e quantifica fortemente seu efeito sobre ataques.","Large language models (LLMs) deployed as autonomous agents with tool access, retrieval pipelines, and persistent memory expose an expanded attack surface. We formalize prompt injection as a control-boundary violation arising from the conflation of trusted instructions and untrusted data within LLM context windows. We introduce a threat model spanning user input, retrieval pipelines, tool outputs, and persistent memory, and develop a structured taxonomy of attack vectors. We conduct a controlled empirical evaluation across three system architectures (chatbot, retrieval-augmented system, autonomous agent) and three major LLM families (GPT-4, Claude 3.5 Sonnet, Gemini 1.5 Pro), totaling 2,100 trials ($N=50$ per configuration). Results show a monotonic increase in attack success as system autonomy expands, with memory poisoning reaching 94% (95% CI: 83.8-98.2%) in autonomous configurations. Through systematic ablation of six mitigation strategies, we find that prompt-level defenses provide limited protection $(\leq 3.2$ percentage points), while architectural controls-specifically tool permission gating, memory write filtering, and provenance tracking-reduce memory poisoning from 94% to 11%. These findings provide strong empirical evidence that prompt injection is best understood as a system-level vulnerability requiring external policy enforcement rather than prompt engineering alone.",doi:10.1109/sera69989.2026.11618608,,
5,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,Selecionado por estudar injeções textuais/visuais/estruturais em documentos processados por RAG. O contexto de processamento documental é altamente transferível para aplicações de extração de informações.,1,0.99,0.99,Visual and Structural Prompt Injection in Medical Rag Systems: a Comparative Robustness Analysis,"Güler, Songül Erdem and Aydın, Muhammed Ali",2026,10.1109/ichora69329.2026.11536987,,"2026 8th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",IEEE,PRIMARY_ATTACK,ATTACK; EVALUATION,DOCUMENT_PROCESSING; DOCUMENT_UNDERSTANDING; EXTERNAL_CONTENT; MULTIMODAL; RAG; UNTRUSTED_INPUT,False,EVALUATED,"Investiga diretamente prompt injection indireta visual e estrutural em RAG médico, incluindo white-text, microtipografia e manipulação de metadados em documentos. Avalia seis modelos, 2.400 etapas e ASR, sendo muito alinhado aos contextos documentais e de conteúdo externo.","The integration process of Large Language Models (LLM) into the healthcare ecosystem is demonstrating a shift from cloud-based systems towards local (on-premise) and opensource Retrieval-Augmented Generation (RAG) architectures due to data privacy regulations such as GDPR and HIPAA. However, these architectures harbor critical vulnerabilities against indirect prompt injection attacks that target parsing gaps in the document processing layer and manipulate model behavior. In this study, the resilience of 6 distinct local models, including Llama-3, Gemma-3, and Meditron, against visual and structural injection vectors has been quantitatively and qualitatively analyzed. Within the scope of the study, visual-semantic mismatch (white-text), micro-typography, and metadata manipulation techniques were tested on $\mathbf{1 0 0}$ original clinical discharge summaries generated via Google Gemini 2.5 Flash and dynamic prompt engineering. In the threat model, the objective was to have the model diagnose a false septic shock and prescribe meropenem, a high-risk antibiotic with no clinical indication, by suppressing a stable patient profile (context suppression). Analyses involving a total of 2,400 unique experimental steps revealed that standard RAG parsers failed to detect visual payloads hidden from human perception, and the models could be manipulated with an average Attack Success Rate (ASR) of 47.78 %. The most significant finding of the study is the security asymmetry between models. While the generalpurpose Gemma-3 model exhibited the highest vulnerability with 96.33 % ASR, the Meditron-7B model, trained specifically for the medical domain, demonstrated superior resistance with 8.67 % ASR. The results indicate that domain-specific training establishes a natural security shield (inherent robustness) against injection attacks. On the other hand, the use of general-purpose models in clinical decision support processes without visual sanitization mechanisms poses serious risks in terms of patient safety.",doi:10.1109/ichora69329.2026.11536987,,
6,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por tratar a propagação de indirect prompt injection a partir de conteúdo recuperado e por propor rastreamento de proveniência. Acrescenta evidência sobre detecção, atribuição e propagação do ataque.",1,0.99,0.99,TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows,"Chen, Jingyi and Lu, Rongqing",2026,10.1109/access.2026.3726909,,IEEE Access,IEEE,DETECTION,DETECTION; EVALUATION; FORENSICS; FRAMEWORK,EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"O trabalho é diretamente centrado em indirect prompt injection e rastreia sua propagação de fontes e contextos recuperados até spans do artefato final. Propõe mecanismos de atribuição e verificação contrafactual e apresenta avaliação extensa com múltiplos modelos, auditoria humana e métricas de caminho e span.","Indirect prompt injection can persist through retrieval, generation, and revision after the visible payload disappears. Existing defenses primarily detect suspicious inputs or constrain immediate actions, but they provide less evidence about which source influenced which final-artifact span through a temporally valid route. This paper presents TrustTrace, a provenance-aware framework for source-to-artifact tracing in LLM-assisted learning workflows. TrustTrace constructs a heterogeneous temporal graph over sources, retrieved contexts, prompts, responses, revision operations, and artifact spans. A dual-flow encoder separates legitimate evidence transmission from unauthorized control transmission, while differentiable reachability supports source attribution, contaminated-span localization, activation-stage estimation, and complete-path recovery. A bounded counterfactual verifier performs fact-preserving neutralization, suffix replay, calibrated set-valued attribution, and abstention. The primary pipeline uses procedurally separated GPT-5.5 profiles; construct validity is therefore tested with independent human ratings, a Qwen3-235B-A22B-Instruct generation set, and an independent Qwen3 neutralization-and-judging stack. On the independently audited EduTrace-IPI subset, TrustTrace improves strict Complete-Path F1@3 from 0.631 to 0.684 over the architecture-matched terminal-supervision baseline and from 0.659 to 0.716 after disagreement-flagged workflows are excluded. Human ratings of 800 stratified artifact spans correlate with the continuous contamination score at Spearman $\rho =0.78$ , and an independent Qwen3 verifier preserves most of the primary result (Span-F1 0.731 and Complete-Path F1@3 0.671). On Qwen3-generated workflows, TrustTrace obtains Span-F1 0.681 and Complete-Path F1@3 0.598 without retraining. Binary detection gains remain comparatively small, and specialized guards remain stronger on selected native input- or action-level metrics. The evidence supports TrustTrace as a complementary forensic layer for calibrated span and path tracing rather than a replacement for preventive defenses.",doi:10.1109/access.2026.3726909,,
7,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,Selecionado por propor um framework específico para avaliar defesas contra prompt injection em RAG. Contribui para a comparação de estratégias de mitigação e para a definição de protocolos de avaliação.,1,0.99,0.99,Veritas: Dynamic Evaluation Framework for Rag Systems' Defense Against Prompt Injection Attacks,"John, Ankita and Thamilarasu, Geethapriya",2026,10.1109/smartnets69662.2026.11604866,,"2026 International Conference on Smart Applications, Communications and Networking (SmartNets)",IEEE,BENCHMARK_EVALUATION,BENCHMARK; EVALUATION; FRAMEWORK,DOCUMENT_PROCESSING; EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"O trabalho trata diretamente de prompt injection em RAG por meio de instruções maliciosas em documentos recuperados. Propõe ambiente reproduzível para testar cenários de ataque e comparar defesas, variando parâmetros de recuperação e medindo sucesso dos ataques.","Prompt injection poses a significant security risk to Retrieval-Augmented Generation (RAG) systems, enabling adversaries to embed malicious instructions within retrieved documents and hijack model behavior to exfiltrate sensitive information or execute unauthorized actions. This work presents a modular dynamic evaluation environment for systematically testing and comparing defense mechanisms against prompt injection attacks in RAG architectures. The framework simulates diverse injection scenarios targeting the retrieval pipeline, integrates optional mitigation strategies such as input filtering, prompt rewriting, and retrieval-aware defenses, and automatically logs model behavior to assess attack success. By varying retrieval parameters and quantifying defense robustness across diverse attack verticals and RAG configurations, the system enables reproducible and scalable evaluation of prompt injection resilience. The results highlight strengths and weaknesses of existing defenses in RAGspecific threat models and establish a foundation for standardized benchmarking of defense mechanisms in knowledge-grounded generative AI systems.",doi:10.1109/smartnets69662.2026.11604866,,
8,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado como representante da vertente de detecção de prompt injection em documentos recuperados. Apresenta método zero-shot, benchmarks e métricas quantitativas relevantes.",1,0.99,0.99,Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States,"Manohar, Lokesh Prakash",2026,10.1109/iccsdfai70505.2026.11647875,,"2026 International Conference on Cybersecurity, Digital Forensics, and AI Applications (ICCSDFAI)",IEEE,DETECTION,DETECTION; EVALUATION,CYBERSECURITY; DOCUMENT_PROCESSING; EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"O trabalho é diretamente dedicado à detecção de prompt injection embutido em documentos recuperados por pipelines RAG. Propõe método zero-shot e apresenta avaliação quantitativa em benchmarks, com AUC, intervalos de confiança, baseline e custo de inferência.","Retrieval-augmented generation (RAG) pipelines are vulnerable to prompt injection attacks, where adversaries embed malicious instructions inside retrieved documents. Existing embedding-based detectors rely on mean-pooled sentence vectors, which suppress short injection spans hidden within long benign text — a phenomenon we formalize as semantic dilution. We extract per-token hidden states from a frozen 22M-parameter sentence transformer already present in the pipeline and apply N-gram pooling over sliding windows to localize injection signals. On a controlled chunk-level benchmark (1,575 chunks, Enron corpus), our method achieves AUC=0.901 (95% CI [0.869, 0.930]), with confidence intervals non-overlapping with the mean-pool baseline (AUC=0.808). On the public xTRam1 dataset, zero-shot AUC=0.870 exceeds the supervised baseline of 0.764. All three scoring variants execute at identical CPU latency (≈44ms per 500-character chunk). The method requires no labeled data, no fine-tuning, and no access to the generative LLM at inference time.",doi:10.1109/iccsdfai70505.2026.11647875,,
9,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Substitui o estudo anteriormente alocado na prioridade 9. Foi selecionado por propor a localização de prompts injetados em dados contaminados, permitindo análise forense e recuperação. O trabalho avalia o método contra ataques existentes e adaptativos e complementa o conjunto com uma perspectiva de detecção/localização. Há versão pública no arXiv.",16,0.96,0.99,PromptLocate: Localizing Prompt Injection Attacks,"Jia, Yuqi and Liu, Yupei and Shao, Zedian and Jia, Jinyuan and Gong, Neil Zhenqiang",2026,10.1109/sp63933.2026.00105,,2026 IEEE Symposium on Security and Privacy (SP),IEEE,DETECTION,DETECTION; EVALUATION; FORENSICS,GENERAL_LLM; UNTRUSTED_INPUT,False,EVALUATED,"Foca diretamente em localizar prompts injetados dentro de dados contaminados, com objetivo de análise forense e recuperação. Avalia o método em oito ataques existentes e oito adaptativos, oferecendo evidência direta sobre detecção/localização de prompt injection.","Prompt injection attacks deceive a large language model into completing an attacker-specified task instead of its intended task by contaminating its input data with an injected prompt, which consists of injected instruction(s) and data. Localizing the injected prompt within contaminated data is crucial for post-attack forensic analysis and data recovery. Despite its growing importance, prompt injection localization remains largely unexplored. In this work, we bridge this gap by proposing PromptLocate, the first method for localizing injected prompts. PromptLocate comprises three steps: ① splitting the contaminated data into semantically coherent segments, ② identifying segments contaminated by injected instructions, and ③ pinpointing segments contaminated by injected data. We show PromptLocate accurately localizes injected prompts across eight existing and eight adaptive attacks. Our code and data are available at: https://github.com/liu00222/Open-Prompt-Injection.",doi:10.1109/sp63933.2026.00105,https://arxiv.org/pdf/2510.12252,Versão pública verificada no arXiv.
10,PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado porque investiga desvio de tarefa causado por instruções presentes em dados externos não confiáveis. O mecanismo é particularmente transferível para tarefas de extração/REN, nas quais o modelo deve manter a instrução original apesar do conteúdo processado.",1,0.99,0.99,Get My Drift? Catching LLM Task Drift with Activation Deltas,"Abdelnabi, Sahar and Fay, Aideen and Cherubin, Giovanni and Salem, Ahmed and Fritz, Mario and Paverd, Andrew",2025,10.1109/satml64287.2025.00011,,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),IEEE,DETECTION,DATASET; DEFENSE; DETECTION; EVALUATION; FRAMEWORK,EMAIL; EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"O artigo aborda diretamente prompt injection causada por instruções presentes em dados externos não confiáveis de aplicações retrieval-augmented e propõe detecção de task drift por activation deltas. A avaliação em múltiplos modelos, generalização para ataques não vistos e dataset de mais de 500 mil instâncias tornam o estudo altamente alinhado às questões da revisão.","Large Language Models (LLMs) are commonly used in retrieval-augmented applications to execute user instructions based on data from external sources. For example, modern search engines use LLMs to answer queries based on relevant search results; email plugins summarize emails by processing their content through an LLM. However, the potentially untrusted provenance of these data sources can lead to prompt injection attacks, where the LLM is manipulated by natural language instructions embedded in the external data, causing it to deviate from the user's original instruction(s). We define this deviation as task drift. Task drift is a significant concern as it allows attackers to exfiltrate data or influence the LLM's output for other users. We study LLM activations as a solution to detect task drift, showing that activation deltas - the difference in activations before and after processing external data - are strongly correlated with this phenomenon. Through two probing methods, we demonstrate that a simple linear classifier can detect drift with near-perfect ROC AUC on an out-of-distribution test set. We evaluate these methods by making minimal assumptions about how users' tasks, system prompts, and attacks can be phrased. We observe that this approach generalizes surprisingly well to unseen task domains, such as prompt injections, jailbreaks, and malicious instructions, without being trained on any of these attacks. Interestingly, the fact that this solution does not require any modifications to the LLM (e.g., fine-tuning), as well as its compatibility with existing meta-prompting solutions, makes it cost-efficient and easy to deploy. To encourage further research on activation-based task inspection, decoding, and interpretability, we release our large-scale TaskTracker toolkit, featuring a dataset of over 500K instances, representations from six SoTA language models, and a suite of inspection tools.",doi:10.1109/satml64287.2025.00011,,
