database,source_file,bib_key,entry_type,title,abstract,authors,year,doi,url,venue,content_type,title_norm,match_method,match_score,match_margin,evaluation_file,screening_doi,screening_id,screening_title,relevance_score,confidence,phenomenon_centrality,rq_contribution,application_context,evidence_or_synthesis,information_density,hard_exclude,study_type,contribution_types,contexts,possible_duplicate_llm,reason,score_recalculated,score_difference,score_formula_ok,screening_status,priority_band,dedup_key
IEEE,IEEE_S1_001-100.bib,11673101,article,RIPPLE: Differential Testing of Exact-Value Restoration Boundaries in Privacy-Preserving LLM Pipelines,"Privacy-preserving large language model (LLM) pipelines often replace sensitive input values with placeholders before inference and later restore approved values in the generated response. This restoration step can itself introduce unauthorized sensitive values into the final output, yet standard evaluations often conflate values already produced by the model with values newly inserted by restoration. This article presents RIPPLE, a differential regression-testing methodology that attributes exact sensitive-value exposure to either raw model output or downstream restoration. Allow-only policy gating is treated as a baseline restoration obligation rather than as the methodological contribution. RIPPLE separately measures sensitive values present before restoration, values newly released by restoration, and sensitive values visible in the final output; it also distinguishes exact-value non-release from typed marker or placeholder category disclosure. In a matched 120-case attribution probe, RIPPLE distinguishes raw sensitive literals already present in model output from releases caused by placeholder restoration. In a designed 18,000-case controlled benchmark with no pre-existing unauthorized exact values, naive restoration causes unauthorized exact-value release in 78.2% of benchmark cases; this value is a regression-test stress rate for the constructed perturbation suite, not an estimate of deployment incidence. Under the same tested contract, the evaluated policy-gated engines produce zero measured restoration-induced releases. An 11-defect mutation study shows that final-exposure, differential-release, DLP, policy-gating, proxy, and audit signals detect different classes of restoration faults, and a marker/opaque-placeholder analysis shows how generic markers and opaque placeholders remove category-disclosure surfaces without changing exact-release outcomes. Evaluations using a public Gretel PII corpus adaptation and 360 frozen outputs from a Microsoft Presidio–LLM pipeline provide independently sourced synthetic and reproducible downstream checks. RIPPLE is an audit-oriented method for testing exact-value restoration boundaries, not a general privacy or prompt-injection defense.","Heydari, Vahid and Nyarko, Kofi and Alam, Syeda Sadia",2026,10.1109/access.2026.3729141,,IEEE Access,,ripple differential testing of exact value restoration boundaries in privacy preserving llm pipelines,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11673101,RIPPLE: Differential Testing of Exact-Value Restoration Boundaries in Privacy-Preserving LLM Pipelines,0.0,0.99,0.0,0.0,0.0,0.0,0.0,True,BENCHMARK_EVALUATION,"['BENCHMARK', 'EVALUATION']",['GENERAL_LLM'],False,"O estudo avalia falhas de restauração de valores sensíveis em pipelines de LLM e declara explicitamente não ser uma defesa geral de privacidade ou prompt injection. Não há investigação de prompt injection, jailbreak ou ataque adversarial relacionado, caracterizando falso positivo para o fenômeno de interesse.",0.0,0.0,True,EVALUATED,0.00–0.24 provável exclusão,doi:10.1109/access.2026.3729141
IEEE,IEEE_S1_001-100.bib,11663676,inproceedings,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,"Modern cloud platforms and large distributed systems generate massive volumes of logs that record failures, access behavior, and system states. These logs are central to security monitoring and reliability engineering. While recent log analysis models can detect anomalies with high accuracy, operational triage remains difficult. Security teams still need to manually inspect long log sequences, and emerging LLM-based assistants often produce explanations that lack sufficient evidence. More critically, cloud logs are untrusted inputs, and malicious strings embedded in logs can manipulate automated assistants and trigger unsafe outputs. This paper presents EB-AIOps, an evidence-bound and injection-resilient framework for intelligent cloud security triage. The proposed system integrates structured log parsing, risk-aware incident detection, evidence retrieval, and controlled language-model-based reporting. Only high-risk windows are forwarded for triage. For each suspected incident, the framework retrieves a small set of relevant historical logs and constrains the assistant to generate reports strictly grounded in this evidence. Raw log text is isolated from system instructions, which limits the effect of prompt injection hidden inside logs. Experiments on large-scale distributed log datasets show that EB-AIOps achieves strong detection performance, reaching 0.991 accuracy, 0.984 F1-score, and 0.993 AUC, outperforming deep sequence and transformer-based baselines. The framework also improves cross-system generalization, with F1-scores above 0.93 under domain shift. More importantly, EB-AIOps produces highly grounded triage outputs with 0.97 evidence precision and reduces prompt-injection attack success to 0.04, compared to 0.42 for unconstrained assistants. These results demonstrate that EB-AIOps enables accurate, verifiable, and secure incident triage for real cloud security operations.","Chugani, Hitesh",2026,10.1109/insect68872.2026.11663676,,2026 International Conference on Intelligent and Sustainable Electronics & Computing Technologies (INSECT),,eb aiops evidence bound and injection resilient intelligent triage for cloud security logs,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11663676,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,0.88,0.99,0.75,1.0,0.75,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'MITIGATION', 'EVALUATION']","['EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'GENERAL_LLM', 'CYBERSECURITY']",False,"O framework trata logs como entradas não confiáveis e inclui isolamento de texto bruto e geração vinculada a evidências para limitar prompt injection. A avaliação mede diretamente a redução da taxa de sucesso do ataque, além de métricas de detecção e generalização.",0.88,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/insect68872.2026.11663676
IEEE,IEEE_S1_001-100.bib,11667790,article,Semantic Isomorphism Attacks and Defense Evaluation for Jailbreaking Large Language Models,"The safety alignment of large language models (LLMs) faces persistent challenges from jailbreak attacks. While existing methods mostly leverage prompt engineering or adversarial optimization, we identify and formalize an underexplored semantic isomorphism vulnerability where harmful and safe scenarios share highly consistent underlying operational principles, allowing harmful intent to bypass semantic refusal. We present Safe2Harm, a four-stage semantic isomorphism jailbreak attack framework integrating safe rewriting, topic mapping, safe response generation, and topic inversion. Evaluations on 8 mainstream LLMs and three benchmarks show Safe2Harm substantially outperforms state-of-the-art baselines, reaching 99.5% peak ASR on large-parameter models. Further mechanistic and defense analysis reveals the strong input-side stealthiness of the attack, alongside detectable signals in inversion and final outputs, offering key insights for multi-layered LLM safety defense.","Yang, Fan and Wang, Ke and Dou, Wenzhou and Shuai, Yifan and Liu, Zitao and Zhou, Dehua",2026,10.1109/taslpro.2026.3727929,,"IEEE Transactions on Audio, Speech and Language Processing",,semantic isomorphism attacks and defense evaluation for jailbreaking large language models,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11667790,Semantic Isomorphism Attacks and Defense Evaluation for Jailbreaking Large Language Models,0.93,0.99,1.0,1.0,0.5,1.0,1.0,False,PRIMARY_ATTACK,"['ATTACK', 'EVALUATION']",['GENERAL_LLM'],False,"O trabalho propõe um novo framework de jailbreak baseado em isomorfismo semântico e analisa seu mecanismo de evasão. Avalia oito LLMs em três benchmarks, reporta ASR e inclui análise de sinais relevantes para defesa.",0.92,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/taslpro.2026.3727929
IEEE,IEEE_S1_001-100.bib,11670335,article,"PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift","Prompt-injection detectors are typically evaluated using aggregate $F_{1}$ on in-distribution test data, which offers limited insight into behavior under distribution shift, particularly on the benign side of the decision boundary, where false positives impose direct operational cost yet are seldom measured. We present PIDS-Bench, a frozen multi-axis benchmark that jointly evaluates attack detection and benign false-positive behavior at fixed thresholds, spanning in-distribution inputs, hard-benign prompts that mimic injection structure without malicious intent, obfuscated attacks, and domain and structural distribution shifts. We evaluate seven detectors (learned baselines, external prompt-injection classifiers, and broad-safety comparators) alongside a rule-based lower-bound reference. Multi-axis evaluation exposes a failure mode that aggregate $F_{1}$ conceals. A detector exceeding $F_{1} = 0.98$ on the held-out split still misclassifies roughly one-third of an externally-sourced benign subset drawn from public corpora and restricted to security-adjacent content. Across a full threshold sweep and five training seeds, no internal detector reaches an operating point satisfying $F_{1} \geq 0.95$ and hard-benign $\mathrm {FPR} \leq 0.10$ together on this stress distribution. Decomposing by provenance, we find that hard-negative augmentation nearly eliminates over-defense on curated stress inputs but leaves it substantially intact on externally-sourced prompts, a pattern we term provenance-sensitive over-defense. The asymmetry holds across both fine-tuned architectures and does not diminish as the augmentation pool grows, with the externally-sourced FPR remaining far above the 0.10 target. Whether augmentation matched to the externally-sourced distribution would close this gap is untested; threshold calibration and curated-style augmentation alone do not.","Shire, Yusuf Khalid and Kim, Sang-Chul",2026,10.1109/access.2026.3728186,,IEEE Access,,pids bench evaluating prompt injection detectors under over defense obfuscation and distribution shift,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11670335,"PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift",0.93,0.99,1.0,1.0,0.5,1.0,1.0,False,BENCHMARK_EVALUATION,"['DETECTION', 'BENCHMARK', 'EVALUATION']",['GENERAL_LLM'],False,"Prompt injection é o foco central do benchmark, que avalia detectores sob ofuscação, falsos positivos e mudanças de distribuição. O resumo descreve múltiplos detectores, varredura de limiares, sementes de treinamento e métricas de F1/FPR, oferecendo evidência direta sobre robustez de detecção.",0.92,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/access.2026.3728186
IEEE,IEEE_S1_001-100.bib,11661842,inproceedings,Hybrid Feature Representation and Deep Anomaly Detection for Jailbreak Prompt Defense,"Prompt-based jailbreak attacks remain a practical threat to the safe deployment of large language models, as adversaries can bypass moderation policies using carefully crafted instructions and obfuscation. This paper investigated whether anomaly detection can serve as a lightweight defense for identifying malicious prompts without relying on continuously updated labeled attack sets. Study developed a hybrid feature representation that combined word-level and character-level TF–IDF (Term Frequency–Inverse Document Frequency) features with embedding vectors, and evaluated TruncatedSVD and PCA for dimensionality reduction. Three anomaly detectors—Isolation Forest, One-Class SVM, and a deep autoencoder trained primarily on benign prompts—were assessed on a public prompt-injection dataset using ROC-based threshold selection. The deep autoencoder with SVD achieved the strongest overall performance, reaching 0.94 recall and 0.31 F1-score, while exhibiting a conservative detection behavior with elevated false positives. These results suggest that deep reconstruction-based anomaly scoring can function as a high-recall first-stage safety filter for jailbreak prompt defense, with future improvements focused on calibration to reduce benign misclassifications. Rather than being a stand-alone classifier, the suggested approach is meant to serve as a high-recall, first-stage safety filter to support subsequent moderating techniques. The primary limitation is the false-positive rate, which motivates threshold calibration and layered moderation as future work.","Awal, Md Abdul and Nishita Aktar, Mst. and Rahman, Kh. Mustafizur and Hossain, Afzal and Sakib, Md.Nazmus",2026,10.1109/peccii70991.2026.11661842,,"2026 International Conference on Power, Electronics, Communications, Computing, and Intelligent Infrastructure (PECCII)",,hybrid feature representation and deep anomaly detection for jailbreak prompt defense,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11661842,Hybrid Feature Representation and Deep Anomaly Detection for Jailbreak Prompt Defense,0.93,0.99,1.0,1.0,0.5,1.0,1.0,False,DETECTION,"['DETECTION', 'DEFENSE', 'PREVENTION', 'EVALUATION']",['GENERAL_LLM'],False,"O estudo investiga diretamente detecção de prompts de jailbreak/prompt injection por anomalia, comparando três detectores e representações híbridas. Usa dataset público, seleção de limiar por ROC e reporta recall, F1 e limitações de falsos positivos.",0.92,0.01,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/peccii70991.2026.11661842
IEEE,IEEE_S1_001-100.bib,11662091,inproceedings,"Prompt Firewalls for Securing Large Language Model Systems: Threats, Architectures, and Design Trade-offs","Large Language Models are increasingly deployed as core components of enterprise automation platforms, retrieval-augmented generation systems, and autonomous agentic work-flows. While these systems enable advanced reasoning and decision-making, they also introduce a new attack surface rooted in natural language interaction. Prompt injection and indirect prompt injection attacks exploit the instruction-following behavior of these models, allowing adversaries to manipulate system behavior through untrusted inputs and external context.Prompt Firewalls have emerged as a security mechanism that intercepts and constrain prompt construction before or during model inference. Existing approaches range from lexical filtering and policy enforcement to semantic validation, role-aware parsing, and stateful monitoring across multi-step workflows, each presenting distinct architectural trade-offs.This survey provides a structured and implementation-oriented review of Prompt Firewall research. We examine attack models, design principles, deployment strategies, and enforcement mechanisms, and compare representative approaches to identify strengths, limitations, and open challenges in securing Large Language Model systems.","Hossain, Md. Shojib and Adnan, Md Nasim and Sheikh, Mohammad Nowsin Amin and Rahman, Muhammad Towfiqur",2026,10.1109/peccii70991.2026.11662091,,"2026 International Conference on Power, Electronics, Communications, Computing, and Intelligent Infrastructure (PECCII)",,prompt firewalls for securing large language model systems threats architectures and design trade offs,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11662091,"Prompt Firewalls for Securing Large Language Model Systems: Threats, Architectures, and Design Trade-offs",0.9,0.98,1.0,1.0,0.75,0.75,0.75,False,SURVEY,"['SURVEY', 'DEFENSE', 'PREVENTION', 'MITIGATION']","['RAG', 'AGENT', 'EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'GENERAL_LLM']",False,"O survey é centrado em prompt injection e indirect prompt injection e revisa arquiteturas de prompt firewall, mecanismos de enforcement, modelos de ataque e trade-offs. O contexto inclui RAG, workflows agentivos e entradas externas não confiáveis, com síntese estruturada de abordagens de defesa.",0.9,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/peccii70991.2026.11662091
IEEE,IEEE_S1_001-100.bib,11666482,article,Evil-AI Benchmark: An Evaluation Framework for Adversarial Security Assessment of LLM Agents in Smart Environments,"Smart environments increasingly integrate artificial intelligence (AI) to process sensor data, coordinate Internet of Things (IoT) devices, and actuate cyber-physical services. Within these environments, large language models (LLMs) are emerging as decision-making and interaction components. However, LLM integration expands the attack surface of these environments, and existing benchmarks focus largely on risks associated with text-based interactions and LLM-generated outputs, failing to capture cyber-physical risks that arise when models control physical actuators. This paper introduces Evil-AI Benchmark, an open-source evaluation framework for assessing LLM agents in smart environments through (i) five adversarial threat vectors—prompt injection, persuasion, attacker-in-the-middle (AITM) simulation, data leakage, and unsafe actions—and (ii) a capability validation that checks whether a model can correctly activate device-control tools. The benchmark instruments tool activations and forwards tool-trigger events to an external Arduino-driven servo actuator, providing physical verification of actuation events. To demonstrate the benchmark in practice, we evaluate eight representative LLMs using 350 executable scenarios: 250 adversarial tests spanning five smart-environment domains (smart home, healthcare IoT, industrial control, public infrastructure, and smart building), 50 capability checks, and 50 benign over-refusal tests. Responses are scored by two independent judge models and verified by a human evaluator. We report Evilness as the extent to which attacks succeed. The Evilness Score equals the number of successful attacks, and the Evilness Rate is the corresponding percentage. Across models, Evilness Rates range from 0.8% to 54.0% (2–135 successful attacks out of 250), while Defense Rates range from 46.0% to 99.2%. The most persistent weaknesses occur in persuasion, especially under sustained multi-turn pressure, and in prompt injection. Moreover, larger models are not necessarily more robust against adversarial attacks. We additionally quantify over-refusal on benign authorized requests, so that safety is not rewarded by indiscriminate refusal. Evil-AI Benchmark provides reproducible diagnostics and quantitative metrics that connect text-based safety evaluation with real-world cyber-physical operation.","Varol, Aygün and Shaikh, Asif and Jalo, Henri and Muchenje, Givemore and Cerqueira, José Siqueira de and Kemell, Kai-Kristian and Hossein Motlagh, Naser and Leino, Mirka and Pirkkalainen, Henri and Abrahamsson, Pekka and Virkki, Johanna",2026,10.1109/access.2026.3727159,,IEEE Access,,evil ai benchmark an evaluation framework for adversarial security assessment of llm agents in smart environments,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11666482,Evil-AI Benchmark: An Evaluation Framework for Adversarial Security Assessment of LLM Agents in Smart Environments,0.73,0.99,0.5,0.75,0.75,1.0,1.0,False,BENCHMARK_EVALUATION,"['BENCHMARK', 'EVALUATION']","['AGENT', 'GENERAL_LLM', 'CYBERSECURITY', 'OTHER']",False,"Prompt injection é uma das cinco classes adversariais do benchmark, juntamente com outros riscos de agentes. A avaliação é substancial, com oito LLMs, 350 cenários executáveis, métricas de sucesso/defesa e verificação de ações em ambientes ciberfísicos.",0.72,0.01,True,EVALUATED,0.65–0.79 provável relevância,doi:10.1109/access.2026.3727159
IEEE,IEEE_S1_001-100.bib,11662524,inproceedings,VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,"The increasing deployment of Large Language Models (LLMs) in critical infrastructure has introduced a class of security risks that remain insufficiently characterised and poorly tooled in practice. Attack vectors including prompt injection, jailbreaking, code execution facilitation, covert data exfiltration, and training data poisoning present quantifiable threats to systems that rely on LLM outputs, yet no lightweight, provider-agnostic tool exists to measure these risks systematically. This paper presents VectorSec, an open-source, web-based LLM security scanner built with Python and Dash. The tool executes a structured test suite of 320 adversarial prompts spanning 16 vulnerability categories aligned with the OWASP Top 10 for LLMs. Each response is scored through a four-stage pipeline combining pattern matching, sentiment analysis, semantic similarity, and secondary LLM verification. Evaluation across three open-source models demonstrates that pattern-matching-only filtering misses approximately 15% of High and Critical findings that semantic verification correctly identifies, motivating the multi-layer design. VectorSec provides interactive dashboard reporting, real-time progress tracking, and audit-ready PDF and CSV exports, lowering the barrier to structured LLM security assessment in operational settings.","Yamin, Muhammad Mudassar",2026,10.1109/aitest70988.2026.00022,,2026 IEEE International Conference on Artificial Intelligence Testing (AITest),,vectorsec a web based ai security scanner for systematic evaluation of llm vulnerabilities,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11662524,VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,0.69,0.98,0.5,0.75,0.5,1.0,1.0,False,BENCHMARK_EVALUATION,"['BENCHMARK', 'EVALUATION', 'FRAMEWORK']","['GENERAL_LLM', 'CYBERSECURITY']",False,"O scanner avalia sistematicamente vulnerabilidades de LLM, incluindo prompt injection e jailbreak entre diversas categorias. Executa 320 prompts adversariais e compara uma pipeline de verificação em três modelos, sendo útil para protocolos de avaliação embora o fenômeno de interesse não seja exclusivo.",0.69,0.0,True,EVALUATED,0.65–0.79 provável relevância,doi:10.1109/aitest70988.2026.00022
IEEE,IEEE_S1_001-100.bib,11662272,inproceedings,Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access,"Healthcare data breaches cost hospitals and clinics an average of $7.42M USD per breach. Autonomous multi-agent LLM pipelines in clinical settings multiply that exposure structurally: a prompt-injection payload embedded in a laboratory report or referral note traverses the full delegation hierarchy before any human reviewer observes it. Standard mechanisms including flat Role-Based Access Control (RBAC) and Macaroon caveat chains provide no structural guarantee that a spawned sub-agent's permissions remain bounded by its parent's scope. The Minimum Necessary Standard must hold across mixedsensitivity EHR data and multi-hop chains simultaneously. That is, the gap is architectural, not behavioral. We present the Hybrid Scripted-Execution and Prompt-Grounded Injection (SEPI) design, a replay-faithful methodology that freezes authorizationrequest traces and replays them identically across baselines to isolate authorization semantics from LLM stochasticity. Applied to a five-agent post-surgical oncology coordination workflow over a synthetic Electronic Health Record scenario, and evaluated against 39 clinically grounded injection payloads across leafagent, mid-delegate, and parent-orchestrator compromise scenarios, NGAC-hypergraph time-scoped delegation reduces mean sensitivity-weighted blast radius $\left(B_{\mathrm{w}}\right)$ by 75.0% relative to flat RBAC and 65.2% relative to Macaroon caveat chains. A temporal ablation shows that removing $t_{\text{expire }}$ raises mean $B_{\mathrm{w}}$ by 75.0% relative to full NGAC. The reduction follows from structural properties of the delegation architecture: attenuation is provable by construction rather than contingent on model behavior. Across model conditions, Claude Sonnet 4.6 actively detected all 39 payloads while open-source models showed weaker or intermittent behavioral protection, reinforcing authorization as the model-agnostic containment control.","Karim, Hassan and Sitharaman, Sai and Gupta, Deepti and Rawat, Danda B.",2026,10.1109/icdh72779.2026.00047,,2026 IEEE International Conference on Digital Health (ICDH),,securing autonomous clinical agents time scoped hypergraph delegation for controlling patient data access,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11662272,Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access,0.96,0.99,1.0,1.0,0.75,1.0,1.0,False,PRIMARY_DEFENSE,"['DEFENSE', 'MITIGATION', 'EVALUATION']","['DOCUMENT_PROCESSING', 'EXTERNAL_CONTENT', 'UNTRUSTED_INPUT', 'AGENT', 'MULTI_AGENT', 'CYBERSECURITY']",False,"O estudo avalia uma arquitetura de contenção para agentes clínicos sob payloads de prompt injection embutidos em relatórios e notas. Compara controles de autorização em 39 payloads e múltiplos níveis de comprometimento, incluindo ablação temporal e medida de blast radius.",0.96,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/icdh72779.2026.00047
IEEE,IEEE_S1_001-100.bib,11657880,inproceedings,SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models,"The threat posed by adversarial prompts to large language models is becoming harder to ignore. Problems including prompt injection, jailbreaking, phishing, and Unicode-based attacks are now widespread. Most existing solutions protect against only one threat type, operate in English only, and provide no explanation for their decisions. We present SemGuard, a multilingual security gateway using Triple-Anchor Semantic Threat Modeling, which simultaneously evaluates each input against three semantic reference sets: attack, safe, and destructive. SemGuard detects four threat types concurrently in Arabic, Arabizi, and English. We expand the original Arabic Security Dataset from 319 to 807 validated examples across seven threat categories, using three independent LLM judges (GPT-4o, Grok-4, Llama 3.3 70B) achieving Fleiss' $\kappa=0.839$. After retraining on the expanded dataset, SemGuard achieves a mean F1-score of 0.989 and recall of 0.991, representing a 13.7% improvement over the original implementation. Analysis of 527 rejected examples reveals quantitative evidence of threat-category ambiguity, with impersonation exhibiting a 98.2% inter-judge disagreement rate, validating the necessity of the Triple-Anchor framework. This work also presents the first Arabic LLM security dataset with a formal LLM-as-Judge annotation protocol.","Abughallous, Abdallah M. and Abufakher, Somia",2026,10.1109/aeect69724.2026.11657880,,2026 IEEE Jordan Conference on Applied Electrical Engineering and Computing Technologies (AEECT),,semguard a triple anchor semantic security gateway for multilingual prompt attack detection in large language models,ID_EXACT,1.0,,IEEE_S1_batch_001-020.jsonl,,11657880,SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models,0.84,0.99,0.75,1.0,0.5,1.0,1.0,False,DETECTION,"['DETECTION', 'DEFENSE', 'DATASET', 'EVALUATION']","['GENERAL_LLM', 'CYBERSECURITY']",False,"SemGuard detecta múltiplas classes de prompts adversariais, incluindo prompt injection e jailbreak, em três variantes linguísticas. O trabalho amplia um dataset validado e reporta métricas quantitativas de F1, recall e concordância entre juízes.",0.84,0.0,True,EVALUATED,0.80–1.00 alta prioridade,doi:10.1109/aeect69724.2026.11657880
