study_key,sources,source_count,title,abstract,authors,year,doi,url,venue,screening_status,n_evaluations,relevance_score,score_range_if_repeated,confidence,hard_exclude,study_type,contribution_types,contexts,reason,priority_band
doi:10.1109/dsn69566.2026.00078,['IEEE'],1,RIPE-II: Retrieval In-Place Poisoning Evaluation with Indirect Injections,"Retrieval Augmented Generation (RAG) systems have enhanced the performance of Large Language Models (LLMs) by effectively addressing challenges such as hallucinations and generating irrelevant responses. However, integrating the RAG technique into LLMs introduces privacy risks and potential data leakage issues from the retrieval pipeline. Indirect Prompt Injections (IPIs) occur when hidden instructions inside retrieved documents slip into a model’s context as trusted evidence, exploiting weak guardrails in RAG systems and leading to unauthorized data leaks, ambiguous outcomes, and policy overrides. Existing defenses rely on brittle delimiter heuristics or limited retriever adjustments, leaving RAG systems vulnerable to adversarial directives blended seamlessly into retrieved content.In this paper, we present RIPE-II, a corpus-level benchmark that evaluates IPIs under a realistic content-poisoning threat model. RIPE-II constructs delimiter-free, position-aware poisoned corpora across multiple domains and includes both textual and visual injections. Our design explicitly models mid-document placement, chunking, truncation, and cross-component propagation, reflecting how enterprise RAG systems ingest and process content. We introduce a two-stage evaluation framework that separates retrieval exposure from generation-time compliance and distinguishes embedding-based similarity from semantic override using a calibrated LLM-based judge. Across biomedical, financial, scientific, open-domain question answering, including multi-hop reasoning and web passage retrieval settings, we find that poisoned documents can reach the final model context in up to 97% of queries and rank first in up to 94% of cases, showing that retriever and reranker choices substantially shape RAG security exposure. We further show that cosine-based attack scoring can underreport semantic compromise by more than 5×, demonstrating that lexical or embedding similarity alone is insufficient for evaluating indirect prompt injection risk.","Malladi, Gayatri and Thamilarasu, Geethapriya",2026,10.1109/dsn69566.2026.00078,,2026 56th Annual IEEE International Conference on Dependable Systems and Networks (DSN),EVALUATED,1,0.99,0.0,1.0,False,BENCHMARK_EVALUATION,"['ATTACK', 'BENCHMARK', 'DATASET', 'EVALUATION', 'FRAMEWORK']","['DOCUMENT_PROCESSING', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'MULTIMODAL', 'RAG', 'UNTRUSTED_INPUT', 'WEB']","O trabalho é diretamente centrado em indirect prompt injection em RAG sob um modelo realista de envenenamento de conteúdo. Introduz benchmark e corpora contaminados, inclui injeções textuais e visuais e separa experimentalmente exposição na recuperação de compliance durante a geração.",0.80–1.00 alta prioridade
doi:10.1109/sera69989.2026.11618608,['IEEE'],1,"Prompt Injection as a Systemic Vulnerability in LLM-Based Tools: Threat Models, Empirical Analysis, and Mitigation Strategies","Large language models (LLMs) deployed as autonomous agents with tool access, retrieval pipelines, and persistent memory expose an expanded attack surface. We formalize prompt injection as a control-boundary violation arising from the conflation of trusted instructions and untrusted data within LLM context windows. We introduce a threat model spanning user input, retrieval pipelines, tool outputs, and persistent memory, and develop a structured taxonomy of attack vectors. We conduct a controlled empirical evaluation across three system architectures (chatbot, retrieval-augmented system, autonomous agent) and three major LLM families (GPT-4, Claude 3.5 Sonnet, Gemini 1.5 Pro), totaling 2,100 trials ($N=50$ per configuration). Results show a monotonic increase in attack success as system autonomy expands, with memory poisoning reaching 94% (95% CI: 83.8-98.2%) in autonomous configurations. Through systematic ablation of six mitigation strategies, we find that prompt-level defenses provide limited protection $(\leq 3.2$ percentage points), while architectural controls-specifically tool permission gating, memory write filtering, and provenance tracking-reduce memory poisoning from 94% to 11%. These findings provide strong empirical evidence that prompt injection is best understood as a system-level vulnerability requiring external policy enforcement rather than prompt engineering alone.","Tripathi, Mukesh Mani and Dhital, Damodar and Aryal, Himal",2026,10.1109/sera69989.2026.11618608,,"2026 IEEE/ACIS 24th International Conference on Software Engineering Research, Management and Applications (SERA)",EVALUATED,1,0.99,0.0,1.0,False,PRIMARY_ATTACK_AND_DEFENSE,"['ATTACK', 'DEFENSE', 'EVALUATION', 'FRAMEWORK', 'MITIGATION', 'TAXONOMY']","['AGENT', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","Prompt injection é o foco central, com modelo de ameaça para entradas de usuário, retrieval, ferramentas e memória, além de taxonomia de vetores e avaliação controlada em chatbots, RAG e agentes. O estudo também realiza ablação de seis mitigações e quantifica fortemente seu efeito sobre ataques.",0.80–1.00 alta prioridade
doi:10.1007/978-3-031-80853-1_31,['Springer'],1,Retrieval Poisoning Attacks Based on&#xa0;Prompt Injections into Retrieval-Augmented Generation Systems that&#xa0;Store Generated Responses,"Retrieval-Augmented Generation (RAG) is a technique that enables to mitigate the limitations of large language model (LLM)-based intelligent systems, such as knowledge obsolescence, hallucinations and the lack of domain-specific expertise during text generation. However, the use of RAG also poses new privacy issues, including data poisoning (retrieval, knowledge or corpus poisoning) attacks, prompt injections and knowledge (personally identifiable information) extraction. For instance, by introducing a small number of poisoned documents into the retrieval database, attackers can manipulate the LLM’s responses to include specific information they desire. In particular, previous studies have not sufficiently addressed the security of RAG systems that store generated responses in the retrieval database (also known as RAG with an active database). In this paper, we propose a novel approach to attacking RAG with an active database based on retrieval poisoning and prompt injections for misinformation tasks. The proposed method addresses the issue of delivering poisoned documents to the retrieval database by exploiting a vulnerability in the accumulation of responses. Experiments on multiple datasets and LLMs demonstrate that the success rate of adding poisoned documents to the retrieval database using the proposed method can reach 96% ASR. By adding just one poisoned document to the retrieval database using the proposed method, it is possible to achieve approximately 80% ASR in generating responses with target answers for users. Results confirm the vulnerability of these distributed systems and highlight the need for improved defense mechanisms.",Yegor AnichkovVictor PopovSergey Bolovtsov,2025,10.1007/978-3-031-80853-1_31,https://link.springer.com/chapter/10.1007/978-3-031-80853-1_31,Distributed Computer and Communication Networks,EVALUATED,1,0.99,0.0,0.99,False,PRIMARY_ATTACK,"['ATTACK', 'EVALUATION']","['EXTERNAL_CONTENT', 'RAG', 'UNTRUSTED_INPUT']",Propõe um ataque diretamente baseado em prompt injection e retrieval poisoning contra sistemas RAG com base ativa. Experimentos em múltiplos datasets e LLMs fornecem ASR para inserção de documentos envenenados e manipulação posterior das respostas.,0.80–1.00 alta prioridade
doi:10.1109/access.2026.3726909,['IEEE'],1,TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows,"Indirect prompt injection can persist through retrieval, generation, and revision after the visible payload disappears. Existing defenses primarily detect suspicious inputs or constrain immediate actions, but they provide less evidence about which source influenced which final-artifact span through a temporally valid route. This paper presents TrustTrace, a provenance-aware framework for source-to-artifact tracing in LLM-assisted learning workflows. TrustTrace constructs a heterogeneous temporal graph over sources, retrieved contexts, prompts, responses, revision operations, and artifact spans. A dual-flow encoder separates legitimate evidence transmission from unauthorized control transmission, while differentiable reachability supports source attribution, contaminated-span localization, activation-stage estimation, and complete-path recovery. A bounded counterfactual verifier performs fact-preserving neutralization, suffix replay, calibrated set-valued attribution, and abstention. The primary pipeline uses procedurally separated GPT-5.5 profiles; construct validity is therefore tested with independent human ratings, a Qwen3-235B-A22B-Instruct generation set, and an independent Qwen3 neutralization-and-judging stack. On the independently audited EduTrace-IPI subset, TrustTrace improves strict Complete-Path F1@3 from 0.631 to 0.684 over the architecture-matched terminal-supervision baseline and from 0.659 to 0.716 after disagreement-flagged workflows are excluded. Human ratings of 800 stratified artifact spans correlate with the continuous contamination score at Spearman $\rho =0.78$ , and an independent Qwen3 verifier preserves most of the primary result (Span-F1 0.731 and Complete-Path F1@3 0.671). On Qwen3-generated workflows, TrustTrace obtains Span-F1 0.681 and Complete-Path F1@3 0.598 without retraining. Binary detection gains remain comparatively small, and specialized guards remain stronger on selected native input- or action-level metrics. The evidence supports TrustTrace as a complementary forensic layer for calibrated span and path tracing rather than a replacement for preventive defenses.","Chen, Jingyi and Lu, Rongqing",2026,10.1109/access.2026.3726909,,IEEE Access,EVALUATED,1,0.99,0.0,0.99,False,DETECTION,"['DETECTION', 'EVALUATION', 'FORENSICS', 'FRAMEWORK']","['EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","O trabalho é diretamente centrado em indirect prompt injection e rastreia sua propagação de fontes e contextos recuperados até spans do artefato final. Propõe mecanismos de atribuição e verificação contrafactual e apresenta avaliação extensa com múltiplos modelos, auditoria humana e métricas de caminho e span.",0.80–1.00 alta prioridade
doi:10.1109/icassp55912.2026.11463457,['IEEE'],1,DarkCite: Unveiling Authority Bias as Implicit Rag Jailbreak Attacks,"This paper reveals a critical and underexplored vulnerability in the safety alignment of Large Language Models (LLMs): an inherent bias toward authoritative information. We demonstrate that this authority bias can be exploited to bypass safety filters, transforming a beneficial model feature into a significant flaw. We hypothesize and show that this attack vector functions as a form of Implicit Retrieval-Augmented Generation (RAG), where a fabricated citation prompts the model to internally retrieve and surface harmful knowledge, bypassing typical safeguards. To systematize this exploit, we introduce DarkCite, a black-box jailbreak framework that adaptively matches risk types with optimal citation styles to generate potent adversarial prompts. Our experiments show DarkCite achieves a state-of-the-art Attack Success Rate (ASR), reaching 63% on average and outperforming prior methods across a range of models. To address this, we propose a practical defense based on authenticity and harm verification, which elevates the average Defense Pass Rate (DPR) from a mere 11% to 74%. Our code is available at https://github.com/YancyKahn/DarkCite","Yang, Xikang and Tang, Xuehai and Han, Jizhong and Hu, Songlin",2026,10.1109/icassp55912.2026.11463457,,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",EVALUATED,1,0.99,0.0,0.99,False,PRIMARY_ATTACK_AND_DEFENSE,"['ATTACK', 'DEFENSE', 'EVALUATION', 'MITIGATION']","['GENERAL_LLM', 'RAG']","DarkCite propõe um jailbreak black-box baseado em autoridade e citações fabricadas, interpretado como forma de RAG implícito, e também avalia uma defesa de verificação. O resumo traz mecanismo, ASR, comparação com métodos prévios e métricas de defesa, tornando-o diretamente relevante.",0.80–1.00 alta prioridade
doi:10.1109/iccsdfai70505.2026.11647875,['IEEE'],1,Zero-Shot Prompt Injection Detection via N-gram Pooling of Token-Level Hidden States,"Retrieval-augmented generation (RAG) pipelines are vulnerable to prompt injection attacks, where adversaries embed malicious instructions inside retrieved documents. Existing embedding-based detectors rely on mean-pooled sentence vectors, which suppress short injection spans hidden within long benign text — a phenomenon we formalize as semantic dilution. We extract per-token hidden states from a frozen 22M-parameter sentence transformer already present in the pipeline and apply N-gram pooling over sliding windows to localize injection signals. On a controlled chunk-level benchmark (1,575 chunks, Enron corpus), our method achieves AUC=0.901 (95% CI [0.869, 0.930]), with confidence intervals non-overlapping with the mean-pool baseline (AUC=0.808). On the public xTRam1 dataset, zero-shot AUC=0.870 exceeds the supervised baseline of 0.764. All three scoring variants execute at identical CPU latency (≈44ms per 500-character chunk). The method requires no labeled data, no fine-tuning, and no access to the generative LLM at inference time.","Manohar, Lokesh Prakash",2026,10.1109/iccsdfai70505.2026.11647875,,"2026 International Conference on Cybersecurity, Digital Forensics, and AI Applications (ICCSDFAI)",EVALUATED,1,0.99,0.0,0.99,False,DETECTION,"['DETECTION', 'EVALUATION']","['CYBERSECURITY', 'DOCUMENT_PROCESSING', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","O trabalho é diretamente dedicado à detecção de prompt injection embutido em documentos recuperados por pipelines RAG. Propõe método zero-shot e apresenta avaliação quantitativa em benchmarks, com AUC, intervalos de confiança, baseline e custo de inferência.",0.80–1.00 alta prioridade
doi:10.1109/ichora69329.2026.11536987,['IEEE'],1,Visual and Structural Prompt Injection in Medical Rag Systems: a Comparative Robustness Analysis,"The integration process of Large Language Models (LLM) into the healthcare ecosystem is demonstrating a shift from cloud-based systems towards local (on-premise) and opensource Retrieval-Augmented Generation (RAG) architectures due to data privacy regulations such as GDPR and HIPAA. However, these architectures harbor critical vulnerabilities against indirect prompt injection attacks that target parsing gaps in the document processing layer and manipulate model behavior. In this study, the resilience of 6 distinct local models, including Llama-3, Gemma-3, and Meditron, against visual and structural injection vectors has been quantitatively and qualitatively analyzed. Within the scope of the study, visual-semantic mismatch (white-text), micro-typography, and metadata manipulation techniques were tested on $\mathbf{1 0 0}$ original clinical discharge summaries generated via Google Gemini 2.5 Flash and dynamic prompt engineering. In the threat model, the objective was to have the model diagnose a false septic shock and prescribe meropenem, a high-risk antibiotic with no clinical indication, by suppressing a stable patient profile (context suppression). Analyses involving a total of 2,400 unique experimental steps revealed that standard RAG parsers failed to detect visual payloads hidden from human perception, and the models could be manipulated with an average Attack Success Rate (ASR) of 47.78 %. The most significant finding of the study is the security asymmetry between models. While the generalpurpose Gemma-3 model exhibited the highest vulnerability with 96.33 % ASR, the Meditron-7B model, trained specifically for the medical domain, demonstrated superior resistance with 8.67 % ASR. The results indicate that domain-specific training establishes a natural security shield (inherent robustness) against injection attacks. On the other hand, the use of general-purpose models in clinical decision support processes without visual sanitization mechanisms poses serious risks in terms of patient safety.","Güler, Songül Erdem and Aydın, Muhammed Ali",2026,10.1109/ichora69329.2026.11536987,,"2026 8th International Congress on Human-Computer Interaction, Optimization and Robotic Applications (ICHORA)",EVALUATED,1,0.99,0.0,0.99,False,PRIMARY_ATTACK,"['ATTACK', 'EVALUATION']","['DOCUMENT_PROCESSING', 'DOCUMENT_UNDERSTANDING', 'EXTERNAL_CONTENT', 'MULTIMODAL', 'RAG', 'UNTRUSTED_INPUT']","Investiga diretamente prompt injection indireta visual e estrutural em RAG médico, incluindo white-text, microtipografia e manipulação de metadados em documentos. Avalia seis modelos, 2.400 etapas e ASR, sendo muito alinhado aos contextos documentais e de conteúdo externo.",0.80–1.00 alta prioridade
doi:10.1109/isitia71267.2026.11642234,['IEEE'],1,Security and Assurance Evaluation of RAG-Based AI Assistants in Learning Management Systems: A Pilot Study on Prompt Injection and Data Leakage,"Learning management systems increasingly use retrieval-augmented generation (RAG) assistants to answer questions from course documents, but connecting heterogeneous learning materials to large language models also creates new security risks. This paper presents a pilot security-and-assurance evaluation of an LMS-oriented RAG assistant using Indonesian PDF materials from an Administrasi Jaringan course. We construct a role-aware corpus of 26 PDFs covering public instructional modules, internal staff notes, restricted synthetic-sensitive documents, and poisoned public documents. The benchmark contains 80 queries across benign use, direct prompt injection, indirect prompt injection, and leakage attempts, executed under three profiles: vanilla RAG, prompt-guarded RAG, and retrieval-aware hardened RAG. Across 240 Gemini 2.5 Flash runs, the vanilla profile achieved the highest benign utility score of 1.90 but remained vulnerable, with a direct prompt-injection ASR of 0.35, a leakage rate of 0.15, an unauthorized retrieval rate of 0.90, and a poisoned retrieval rate of 0.90. Prompt guarding reduced direct attack success to 0.05 but left retrieval exposure unchanged. The hardened profile eliminated observed leakage, unauthorized retrieval, and poisoned retrieval, with a modest utility reduction and residual direct-prompt-injection susceptibility. These findings indicate that LMS-RAG assurance should evaluate both answer-level behavior and retrieval-layer exposure.","Cahyo, Aditya Nur and Koprawi, Muhammad and Wantoro, Jan",2026,10.1109/isitia71267.2026.11642234,,2026 International Seminar on Intelligent Technology and Its Applications (ISITIA),EVALUATED,1,0.99,0.0,0.99,False,BENCHMARK_EVALUATION,"['ATTACK', 'BENCHMARK', 'DATASET', 'DEFENSE', 'EVALUATION', 'MITIGATION']","['CYBERSECURITY', 'DOCUMENT_PROCESSING', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","O estudo avalia diretamente prompt injection direta e indireta, leakage e poisoning em um assistente RAG que processa PDFs. O resumo descreve corpus, benchmark, perfis defensivos, número de execuções e métricas como ASR e taxas de exposição, oferecendo evidência empírica muito densa.",0.80–1.00 alta prioridade
doi:10.1109/optim-acemp62776.2025.11075247,['IEEE'],1,Disrupting Large Language Models with Hidden Prompt Injection Attacks Embedded in HTML Pages,"This research evaluates the reliability of Large Language Models (LLMs) as collaborative tools for extracting information from various web sources, including standard websites, e-commerce platforms, blogs, landing pages, or even e-mails, where the content is much shorter and the processing language models have a higher chance of getting attacked. Prior to conducting model assessments, we present some methodologies involved in web-scraping approaches, prompt injection attack types, and datasets that evaluate the attack success rate (ASR) of LLMs. Our investigation subjects LLMs to rigorous testing using HTML pages containing concealed instructions designed to terminate response generation when users make queries. The evaluation dataset consists of HTML documents of varying sizes, containing randomly positioned prompt injection attacks programmed to direct the LLM to respond with a single specific key word. Using this benchmark, we assess locally deployed LLM models, revealing their ASR across multiple architectures. The defensive mechanism we propose demonstrates a significant reduction in ASR through the implementation of a filtering system with fixed-sized windows of tokens that analyzes HTML content and eliminates compromised data, reducing the success rate of the attacks, which proved to reduce the ASR.","Dinu, Ionuţ-Vlăduţ and Danciu, Gabriel-Mihail and Vintilă, Raul Cristian and Bălan, Titus-Constantin",2025,10.1109/optim-acemp62776.2025.11075247,,2025 International Aegean Conference on Electrical Machines and Power Electronics (ACEMP) & 2025 International Conference on Optimization of Electrical and Electronic Equipment (OPTIM),EVALUATED,1,0.99,0.0,0.99,False,PRIMARY_ATTACK_AND_DEFENSE,"['ATTACK', 'BENCHMARK', 'DATASET', 'DEFENSE', 'EVALUATION', 'MITIGATION']","['EMAIL', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'HTML', 'INFORMATION_EXTRACTION', 'UNTRUSTED_INPUT', 'WEB']","O estudo investiga diretamente prompt injection oculto em HTML durante extração de informações de fontes web e e-mails, contexto fortemente alinhado à revisão. Constrói documentos de avaliação, mede ASR em múltiplas arquiteturas e propõe filtragem do conteúdo comprometido como defesa.",0.80–1.00 alta prioridade
doi:10.1109/satml64287.2025.00011,['IEEE'],1,Get My Drift? Catching LLM Task Drift with Activation Deltas,"Large Language Models (LLMs) are commonly used in retrieval-augmented applications to execute user instructions based on data from external sources. For example, modern search engines use LLMs to answer queries based on relevant search results; email plugins summarize emails by processing their content through an LLM. However, the potentially untrusted provenance of these data sources can lead to prompt injection attacks, where the LLM is manipulated by natural language instructions embedded in the external data, causing it to deviate from the user's original instruction(s). We define this deviation as task drift. Task drift is a significant concern as it allows attackers to exfiltrate data or influence the LLM's output for other users. We study LLM activations as a solution to detect task drift, showing that activation deltas - the difference in activations before and after processing external data - are strongly correlated with this phenomenon. Through two probing methods, we demonstrate that a simple linear classifier can detect drift with near-perfect ROC AUC on an out-of-distribution test set. We evaluate these methods by making minimal assumptions about how users' tasks, system prompts, and attacks can be phrased. We observe that this approach generalizes surprisingly well to unseen task domains, such as prompt injections, jailbreaks, and malicious instructions, without being trained on any of these attacks. Interestingly, the fact that this solution does not require any modifications to the LLM (e.g., fine-tuning), as well as its compatibility with existing meta-prompting solutions, makes it cost-efficient and easy to deploy. To encourage further research on activation-based task inspection, decoding, and interpretability, we release our large-scale TaskTracker toolkit, featuring a dataset of over 500K instances, representations from six SoTA language models, and a suite of inspection tools.","Abdelnabi, Sahar and Fay, Aideen and Cherubin, Giovanni and Salem, Ahmed and Fritz, Mario and Paverd, Andrew",2025,10.1109/satml64287.2025.00011,,2025 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML),EVALUATED,1,0.99,0.0,0.99,False,DETECTION,"['DATASET', 'DEFENSE', 'DETECTION', 'EVALUATION', 'FRAMEWORK']","['EMAIL', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","O artigo aborda diretamente prompt injection causada por instruções presentes em dados externos não confiáveis de aplicações retrieval-augmented e propõe detecção de task drift por activation deltas. A avaliação em múltiplos modelos, generalização para ataques não vistos e dataset de mais de 500 mil instâncias tornam o estudo altamente alinhado às questões da revisão.",0.80–1.00 alta prioridade
