selection_priority,selection_stage,selection_reason,relevance_rank,relevance_score,confidence,title,authors,year,doi,url,venue,sources,study_type,contribution_types,contexts,hard_exclude,screening_status,reason,abstract,study_key,full_text_access_url,access_note
1,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por investigar prompt injection em aplicações web integradas a LLMs, em um fluxo no qual entradas não confiáveis podem influenciar ações sobre sistemas externos. O estudo contribui com avaliação experimental de ataques e defesas e amplia a cobertura de cenários aplicados da revisão.",16,0.96,0.98,Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and Defenses,"Pedro, Rodrigo and Coimbra, Miguel E. and Castro, Daniel and Carreira, Paulo and Santos, Nuno",2025,10.1109/icse55347.2025.00007,,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),IEEE,PRIMARY_ATTACK_AND_DEFENSE,ATTACK; DEFENSE; EVALUATION; MITIGATION; PREVENTION,CYBERSECURITY; GENERAL_LLM; UNTRUSTED_INPUT; WEB,False,EVALUATED,"O artigo caracteriza ataques prompt-to-SQL em aplicações web integradas a LLMs, analisa variantes e impactos e propõe quatro técnicas de defesa. A avaliação de sete LLMs e de aplicações reais oferece evidência empírica diretamente pertinente a ataques baseados em prompts e suas mitigações.","Large Language Models (LLMs) have found widespread applications in various domains, including web applications with chatbot interfaces. Aided by an LLM-integration middleware such as LangChain, user prompts are translated into SQL queries used by the LLM to provide meaningful responses to users. However, unsanitized user prompts can lead to SQL injection attacks, potentially compromising the security of the database. In this paper, we present a comprehensive examination of prompt-to-SQL ($\mathbf{P}_{2} \mathbf{S Q L}$) injections targeting web applications based on frameworks such as LangChain and LlamaIndex. We characterize $\mathrm{P}_{2} \text{SQL}$ injections, exploring their variants and impact on application security through multiple concrete examples. We evaluate seven state-of-the-art LLMs, demonstrating the risks of $P_{2}$ SQL attacks across language models. By employing both manual and automated methods, we discovered $\mathrm{P}_{2} \text{SQL}$ vulnerabilities in five real-world applications. Our findings indicate that LLMintegrated applications are highly susceptible to $\mathrm{P}_{2} \text{SQL}$ injection attacks, warranting the adoption of robust defenses. To counter these attacks, we propose four effective defense techniques that can be integrated as extensions to the LangChain framework.",doi:10.1109/icse55347.2025.00007,https://scholar.tecnico.ulisboa.pt/api/records/-nzH71cOGxXAE7gBweTCZr34uj7Qm-jyL5n-/file/d2111a46f3c8536754304ae5b7b3a8bd87190ae7aadc7e1d2fab73567de40dfd.pdf,Cópia pública em repositório institucional.
2,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,Selecionado pela proximidade com tarefas de extração de conteúdo: o estudo investiga instruções adversariais inseridas em HTML para interferir no processamento realizado por LLMs. O cenário é altamente transferível para REN e extração de informações sobre conteúdo web não confiável.,372,0.81,0.98,Ghosts in the Markup: Techniques to Fight Large Language Model-Powered Web Scrapers,"Brach, William and Petrik, Matej and Košt’ál, Kristián and Ries, Michal",2025,10.23919/fruct65909.2025.11008269,,2025 37th Conference of Open Innovations Association (FRUCT),IEEE,APPLICATION_SECURITY,ATTACK; DEFENSE; EVALUATION; MITIGATION,CYBERSECURITY; EXTERNAL_CONTENT; HTML; INFORMATION_EXTRACTION; WEB,False,EVALUATED,"O estudo usa defensive prompt injection inserida em HTML para manipular o comportamento de extração de LLM-powered web scrapers, combinada com ofuscação de conteúdo. Embora o objetivo seja proteger websites e não defender o próprio LLM, o mecanismo de instruções adversariais em conteúdo externo e sua avaliação experimental são diretamente informativos para indirect prompt injection.","The rise of large language models (LLMs) has revolutionized web scraping, creating new challenges for website owners seeking to protect valuable content. Traditional defenses such as CAPTCHAs and rate limiting are insufficient against sophisticated AI-driven scraping systems. Current state-of-the-art approaches primarily rely on server-side implementations requiring significant computational resources, IP-based blocking mechanisms, and complex pattern recognition systems that struggle to distinguish between legitimate users and advanced AI scrapers. This paper presents a two-step client-side defense strategy that combines content obfuscation and defensive prompt injection. Our approach dynamically alters HTML structure by wrapping characters in span elements with randomized content and strategic CSS rules while simultaneously injecting carefully crafted prompts designed to manipulate LLM extraction behavior. Experimental evaluation on three diverse datasets demonstrates the effectiveness of this combined approach, achieving near-zero extraction rates (0.6% Exact Match, 0.030 ROUGE-L) for structured content while maintaining a seamless user experience. Performance analysis shows that our method increases the HTML document file size by approximately 1773%, compared to over 6593% for alternative techniques such as Content Overload, providing a practical balance between security and usability while keeping rendering times comparable to unprotected pages. This lightweight implementation integrates seamlessly with existing Web infrastructure without requiring significant computational resources, addressing key limitations of server-side defenses while providing robust protection against unauthorized LLM-based content extraction. For further information, source code, and associated resources, please refer to the source code repository 1.",doi:10.23919/fruct65909.2025.11008269,https://www.researchgate.net/publication/392024413_Ghosts_in_the_Markup_Techniques_to_Fight_Large_Language_Model-Powered_Web_Scrapers,Página pública com texto completo indicada na verificação da seleção.
3,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por estruturar prompt injection multimodal em pipelines de imagens e documentos. A taxonomia amplia a revisão para vetores visuais e estruturais, relevantes para processamento documental e sistemas que recebem entradas multimodais.",92,0.95,0.98,Multimodal Prompt Injection: A Formal 4D Taxonomy for Image and Document Pipelines,"Farhana, Mst Habiba and Roy, Ridoy Kumar",2026,10.1109/qpain69676.2026.11545895,,"2026 IEEE 2nd International Conference on Quantum Photonics, Artificial Intelligence & Networking (QPAIN)",IEEE,TAXONOMY,EVALUATION; MITIGATION; TAXONOMY,DOCUMENT_PROCESSING; DOCUMENT_UNDERSTANDING; MULTIMODAL; UNTRUSTED_INPUT,False,EVALUATED,"Prompt injection multimodal é o foco central, com taxonomia formal de vetores em imagens, PDFs e slides e análise de cobertura de defesas. O contexto documental e a categorização de ataques, objetivos, stealth e mitigação têm alta utilidade para a revisão.","Despite rapid advances in multimodal large language models (MLLMs), their cross-modal fusion architectures pose significant security concerns. Multimodal prompt injection (MPI) attacks enable adversaries to incorporate malicious instructions within non-textual inputs such as images, PDFs, and slides to manipulate model behavior, bypass controls, and exploit processes such as optical character recognition (OCR) and metadata parsing. Current research is fragmented due to a lack of a cohesive risk classification and consistent evaluation techniques. This paper introduces a formal 4D taxonomy $\mathcal{T}=\langle C, L, O, S\rangle$ that categorizes MPI attacks according to carrier type, pipeline location, attacker objective, and stealth level, resulting in 96 potentially unique attack classes and indicates that merely 7.3% are documented in existing research. Analysis indicates that no singular defense provides comprehensive coverage; a confirmed limit of 75% dimensional coverage is established across all deployable defenders. Layered architectures with provenance and standardized multimodal benchmarks are recognized as critical conditions for effective MPI mitigation.",doi:10.1109/qpain69676.2026.11545895,https://www.researchgate.net/publication/406967937_Multimodal_Prompt_Injection_A_Formal_4D_Taxonomy_for_Image_and_Document_Pipelines,Página pública com versão do trabalho indicada na verificação da seleção.
4,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por analisar a propagação de prompt injection entre agentes e camadas de um sistema multiagente, incluindo compartilhamento de ferramentas e recursos. Contribui para compreender como instruções maliciosas podem se disseminar após ingressarem por conteúdo externo.",16,0.96,0.98,Cross-layer contagion of prompt injections in multi-agent swarms: a multiplex microscopic markov chain approach,Tran Duc LeTruong Duy DinhThi Le Quyen NguyenCong Danh Nguyen,2026,10.1186/s42400-026-00628-w,https://link.springer.com/article/10.1186/s42400-026-00628-w,Cybersecurity,Springer,APPLICATION_SECURITY,EVALUATION; FRAMEWORK; MITIGATION,AGENT; CYBERSECURITY; EXTERNAL_CONTENT; MULTI_AGENT,False,EVALUATED,"O trabalho modela diretamente a propagação de prompt injections em enxames multiagentes conectados a ferramentas, APIs e bancos de dados compartilhados. Combina formalização matemática, análise de risco, regra de alocação defensiva e experimentos em topologias sintéticas e empíricas.","Large Language Models (LLMs) are increasingly deployed as interconnected agentic swarms that leverage the Model Context Protocol (MCP) to invoke shared external tools, APIs, and databases. In these settings, conventional security strategies based on agent-to-agent airgapping can be insufficient because agents that never directly communicate may still cross-infect one another through shared infrastructure tools, producing a “Confused Deputy” cascade. This paper develops a formal mathematical framework for modeling this cross-layer contagion in MCP-enabled multi-agent swarms. We construct a coupled multiplex Microscopic Markov Chain Approach (MMCA) that simultaneously tracks the node-level probability flow across two layers: an Agent cognitive layer (governed by Susceptible–Exposed–Infected–Quarantined (SEIQ) dynamics) and a Tool infrastructure layer (governed by Susceptible–Infected–Susceptible (SIS) dynamics). Our contributions are threefold: (i) we formulate a coupled multiplex MMCA with asymmetric SEIQ–SIS dynamics across agent and tool layers; (ii) we derive an analytical characterization of systemic risk, including an epidemic-threshold approximation via Next-Generation Matrix analysis and a closed-form budget-allocation rule under an exponential defense-efficiency model; and (iii) across eight experiment groups on synthetic and empirical agent-layer topologies, we show that shared-tool coupling consistently amplifies contagion and that tool-side controls can dominate agent-side hardening under the modeled regime. For cybersecurity practice, the framework identifies when shared tool infrastructure can transform localized prompt-injection events into system-level risk even under direct agent-to-agent isolation.",doi:10.1186/s42400-026-00628-w,https://link.springer.com/article/10.1186/s42400-026-00628-w,Artigo open access na Springer.
5,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por combinar envenenamento de documentos, prompt injection e RAG em uma aplicação documental realista. O estudo acrescenta uma defesa em camadas, dataset adversarial e avaliação experimental, sendo diretamente relevante para mitigação em conteúdo externo não confiável.",258,0.9,0.99,MedRAGShield: A Three-Tier Defense Framework Against Document Poisoning and Adversarial Attacks in Medical Retrieval-Augmented Generation Systems,"Shanid, Mohammed and Prasad, Gaurav and Bawgi, Veeresh and Gowda, Srujan",2026,10.1109/icesst69086.2026.11582854,,2026 IEEE International Conference on Emerging Synergy Science and Technology (ICESST),IEEE,PRIMARY_DEFENSE,DATASET; DEFENSE; DETECTION; EVALUATION; FRAMEWORK; MITIGATION,EXTERNAL_CONTENT; GENERAL_LLM; RAG; UNTRUSTED_INPUT,False,EVALUATED,"Propõe uma defesa para RAG médico contra document poisoning, prompt injection, jailbreak e outros ataques. Traz dataset adversarial, metodologia reproduzível e resultados de ASR, sendo especialmente relevante pelo contexto de documentos recuperados e conteúdo externo.","Retrieval-Augmented Generation (RAG) systems deployed in medical question-answering applications introduce novel attack surfaces not addressed by existing large language model (LLM) safety mechanisms. This research presents MedRAGShield, a three-tier middleware defense framework designed to detect and neutralise document injection poisoning, hallucination exploitation, prompt injection, and jailbreak attacks against medical RAG pipelines. The proposed system operates across three independently togglable defense modes: a baseline mode with no filtering, a confidence and hallucination gating mode, and a full defense mode augmenting the prior modes with Domain-Aware Sanity Check (DASC) rules that apply medical ontological constraints to generated outputs. This experiment constructs a 40-query adversarial evaluation dataset spanning four attack categories and conducts an empirical evaluation on a clinical pharmacology RAG system built on Llama 3.2:3B and ChromaDB. Results demonstrate that confidence-based defenses alone are insufficient against high-similarity document poisoning attacks, which achieve retrieval confidence exceeding 0.85 while delivering clinically dangerous misinformation, a phenomenon this research terms the high-confidence poisoning paradox. The full MedRAGShield defense reduces Attack Success Rate (ASR) from 13.2% (undefended) to 0.0%, with block rate increasing from 0% to 62.5%, while maintaining sub-second query latency. This work establishes a reproducible evaluation methodology for medical RAG security and identifies domain-specific semantic rule checking as a critical missing layer in current LLM defense architectures. Code, dataset, and defense rules are openly available.",doi:10.1109/icesst69086.2026.11582854,https://d197for5662m48.cloudfront.net/documents/publicationstatus/309772/preprint_pdf/98106f1932c09299bae62a8625aa576b.pdf,Preprint público.
6,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por atribuir o comportamento adversarial a trechos específicos do contexto, permitindo identificar qual conteúdo externo contribuiu para a injeção ou corrupção. É particularmente útil para detecção, análise forense e explicabilidade em RAG e documentos longos.",258,0.9,0.99,AttnTrace: Contextual Attribution of Prompt Injection and Knowledge Corruption,"Wang, Yanting and Geng, Runpeng and Chen, Ying and Jia, Jinyuan",2026,10.1109/sp63933.2026.00198,,2026 IEEE Symposium on Security and Privacy (SP),IEEE,DETECTION,DETECTION; EVALUATION; FORENSICS,AGENT; EXTERNAL_CONTENT; RAG; UNTRUSTED_INPUT,False,EVALUATED,"Prompt injection is a major focus alongside knowledge corruption, with a method for tracing malicious context and improving injection detection. The study is especially relevant to RAG and agents using retrieved or Internet content and reports systematic comparative evaluation.","Long-context large language models (LLMs), such as GPT-5, Gemini-2.5-Pro, and Claude-Sonnet-4, are increasingly used to empower advanced AI systems, including retrievalaugmented generation (RAG) systems and autonomous agents. In these systems, an LLM receives an instruction along with a context-often consisting of texts retrieved from a knowledge database, memory, or the Internet-and generates a response that is contextually grounded by following the instruction. Many recent studies showed that these LLM-empowered systems are vulnerable to prompt injection and knowledge corruption attacks, where an attacker can inject malicious texts into the context such that the LLM generates an output as the attacker desires. One important research question is how to trace back to these malicious texts from a long context in leading to the attacker-desired output of the LLM. While significant efforts have been made, state-of-the-art solutions still achieve a sub-optimal performance and/or incur high computation cost. In this work, we propose AttnTrace, a new context traceback method based on the attention weights produced by an LLM for a prompt. To effectively utilize attention weights, we introduce two techniques designed to enhance the effectiveness of AttnTrace, and we provide theoretical insights for our design choice. We also perform a systematic evaluation for AttnTrace. The results demonstrate that AttnTrace is more accurate and efficient than existing state-of-the-art context traceback methods. We also show AttnTrace can improve state-of-the-art methods in detecting prompt injection under long contexts through the attribution-before-detection paradigm. As a real-world application, we demonstrate that AttnTrace can effectively pinpoint injected instructions in a paper designed to manipulate LLM-generated reviews. The code and data are available: https://github.com/Wang-Yanting/AttnTrace.",doi:10.1109/sp63933.2026.00198,https://github.com/Wang-Yanting/AttnTrace,Repositório público dos autores com referência ao trabalho e materiais.
7,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado para representar ataques de prompt por imagens e respectivas defesas. O trabalho amplia a síntese para sistemas multimodais e avalia mecanismos de validação e detecção, relevantes para documentos que combinam texto e conteúdo visual.",16,0.96,0.98,Defending Language Models Against Image-Based Prompt Attacks via User-Provided Specifications,"Sharma, Reshabh K and Gupta, Vinayak and Grossman, Dan",2024,10.1109/spw63631.2024.00017,,2024 IEEE Security and Privacy Workshops (SPW),IEEE,PRIMARY_DEFENSE,DEFENSE; DETECTION; EVALUATION; FRAMEWORK; MITIGATION,CHATBOT; GENERAL_LLM; MULTIMODAL; UNTRUSTED_INPUT,False,EVALUATED,"Trata diretamente de ataques de prompt injection baseados em imagens e propõe uma defesa em duas etapas com validação de entrada e detecção de injeção. A abordagem é avaliada experimentalmente em GPT-4VISION e LLAVA, sendo altamente relevante para vetores multimodais e defesas.","In recent years, there has been an exponential growth of real-world applications where humans interact with chatbots through a combination of images and text. Specifically, these multi-modal large language models (MLLMs) can digest various forms of data and understand users’ intents and needs encoded in both images and text. However, defending these models against prompt-based injection attacks is a less explored area. This problem is further exacerbated by the limitations of current defense mechanisms for language models, which are restricted to handling only text data. This paper introduces a novel defense mechanism for MLLM-based chatbots, addressing image-based injection attacks through a two-stage approach: input validation to identify unsafe inputs before reaching the chatbot, and prompt injection detection to safeguard the MLLM backbone from malicious image attacks. The framework utilizes a domain-specific programming language tailored for secure chatbot definitions and user-specified specifications for chatbots and image inputs. Through experiments on models like GPT-4VISION and LLAVA, we demonstrate the limitations of relying on model robustness and showcase our approach’s effectiveness in improving malicious attack detection for MLLM-based chatbots.",doi:10.1109/spw63631.2024.00017,https://homes.cs.washington.edu/~djg/papers/sagai2024.pdf,PDF público disponibilizado pelos autores.
8,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado por propor defesa baseada em especialização do modelo para uma tarefa específica. Esse princípio é especialmente transferível para aplicações de REN e extração de informações, nas quais a manutenção rígida da tarefa pode reduzir a influência de instruções presentes nos dados.",96,0.93,0.99,Jatmo: Prompt Injection Defense by Task-Specific Finetuning,Julien PietMaha AlrashedChawin SitawarinSizhe ChenZeming WeiElizabeth SunBasel AlomairDavid Wagner,2024,10.1007/978-3-031-70879-4_6,https://link.springer.com/chapter/10.1007/978-3-031-70879-4_6,Computer Security – ESORICS 2024,Springer,PRIMARY_DEFENSE,DEFENSE; EVALUATION; FRAMEWORK; MITIGATION,GENERAL_LLM,False,EVALUATED,Propõe uma defesa específica contra prompt injection baseada em fine-tuning de modelos para tarefas específicas. A abordagem é avaliada em sete tarefas e compara explicitamente taxas de sucesso de ataques contra os modelos defendidos e GPT-3.5-Turbo.,"Large Language Models (LLMs) are attracting significant research attention due to their instruction-following abilities, allowing users and developers to leverage LLMs for a variety of tasks. However, LLMs are vulnerable to prompt-injection attacks: a class of attacks that hijack the model’s instruction-following abilities, changing responses to prompts to undesired, possibly malicious ones. In this work, we introduce Jatmo , a method for generating task-specific models resilient to prompt-injection attacks. Jatmo leverages the fact that LLMs can only follow instructions once they have undergone instruction tuning. It harnesses a teacher instruction-tuned model to generate a task-specific dataset, which is then used to fine-tune a base model (i.e., a non-instruction-tuned model). Jatmo only needs a task prompt and a dataset of inputs for the task: it uses the teacher model to generate outputs. For situations with no pre-existing datasets, Jatmo can use a single example, or in some cases none at all, to produce a fully synthetic dataset. Our experiments on seven tasks show that Jatmo models provide similar quality of outputs on their specific task as standard LLMs, while being resilient to prompt injections. The best attacks succeeded in less than 0.5% of cases against our models, versus 87% success rate against GPT-3.5-Turbo. We release Jatmo at https://github.com/wagner-group/prompt-injection-defense.",doi:10.1007/978-3-031-70879-4_6,https://arxiv.org/pdf/2312.17673,Preprint público no arXiv.
9,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado como benchmark de detecção por avaliar não apenas ataques conhecidos, mas também over-defense, ofuscação e mudança de distribuição. Contribui diretamente para as questões sobre métricas, protocolos experimentais e limitações dos detectores.",96,0.93,0.99,"PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift","Shire, Yusuf Khalid and Kim, Sang-Chul",2026,10.1109/access.2026.3728186,,IEEE Access,IEEE,BENCHMARK_EVALUATION,BENCHMARK; DETECTION; EVALUATION,GENERAL_LLM,False,EVALUATED,"Prompt injection é o foco central do benchmark, que avalia detectores sob ofuscação, falsos positivos e mudanças de distribuição. O resumo descreve múltiplos detectores, varredura de limiares, sementes de treinamento e métricas de F1/FPR, oferecendo evidência direta sobre robustez de detecção.","Prompt-injection detectors are typically evaluated using aggregate $F_{1}$ on in-distribution test data, which offers limited insight into behavior under distribution shift, particularly on the benign side of the decision boundary, where false positives impose direct operational cost yet are seldom measured. We present PIDS-Bench, a frozen multi-axis benchmark that jointly evaluates attack detection and benign false-positive behavior at fixed thresholds, spanning in-distribution inputs, hard-benign prompts that mimic injection structure without malicious intent, obfuscated attacks, and domain and structural distribution shifts. We evaluate seven detectors (learned baselines, external prompt-injection classifiers, and broad-safety comparators) alongside a rule-based lower-bound reference. Multi-axis evaluation exposes a failure mode that aggregate $F_{1}$ conceals. A detector exceeding $F_{1} = 0.98$ on the held-out split still misclassifies roughly one-third of an externally-sourced benign subset drawn from public corpora and restricted to security-adjacent content. Across a full threshold sweep and five training seeds, no internal detector reaches an operating point satisfying $F_{1} \geq 0.95$ and hard-benign $\mathrm {FPR} \leq 0.10$ together on this stress distribution. Decomposing by provenance, we find that hard-negative augmentation nearly eliminates over-defense on curated stress inputs but leaves it substantially intact on externally-sourced prompts, a pattern we term provenance-sensitive over-defense. The asymmetry holds across both fine-tuned architectures and does not diminish as the augmentation pool grows, with the externally-sourced FPR remaining far above the 0.10 target. Whether augmentation matched to the externally-sourced distribution would close this gap is untested; threshold calibration and curated-style augmentation alone do not.",doi:10.1109/access.2026.3728186,https://arxiv.org/pdf/2609.15017,Preprint público no arXiv.
10,RODADA_2_PRIORIDADE_PARA_ANALISE_TEXTO_COMPLETO,"Selecionado como abordagem adicional de detecção, baseada em raciocínio e análise fina do comportamento do modelo. Acrescenta diversidade metodológica à rodada e fornece avaliação quantitativa de detecção.",96,0.93,0.99,Meticulous Thought Defender: Fine-Grained Chain-of-Thought (CoT) for Detecting Prompt Injection Attacks of Large Language Models,"Shi, Lijuan and Kang, Yajing and Hu, Jie and Li, Xinchi and Yang, Mingchuan",2025,10.1109/access.2025.3583759,,IEEE Access,IEEE,DETECTION,DEFENSE; DETECTION; EVALUATION; FRAMEWORK,CYBERSECURITY; GENERAL_LLM,False,EVALUATED,"O estudo propõe especificamente um framework de detecção de prompt injection baseado em análise fina de Chain-of-Thought, consistência e confiança. Apresenta resultados experimentais de acurácia e F1 e comparação com métodos tradicionais e capacidades intrínsecas de LLMs.","Large language models (LLMs) have exhibited exceptional capabilities across various natural language processing tasks, however, they remain susceptible to prompt injection attacks, which pose significant security challenges. Traditional detection methods often fail to effectively identify such attacks due to their reliance on static rules or surface-level analysis. In this study, we introduce a novel, fine-grained CoT based detection framework that enhances the interpretability and robustness of attack identification. By dissecting the step-by-step reasoning process of LLMs, our approach leverages multidimensional anomaly detection mechanisms-encompassing semantic analysis, consistency evaluations at both step and path levels, and confidence estimations to uncover subtle disruptions caused by malicious prompt manipulations. Experimental results demonstrate that our method achieves superior performance metrics, with significant improvements in accuracy and F1 score, outperforming traditional method by 1.16% in accuracy and 3.39% in F1 score, and surpassing LLMs’ intrinsic detection capabilities by 6.24% in accuracy and 7.65% in F1 score. This work not only fortifies the security of LLMs’ applications but also provides a foundational framework for future research on adaptive defenses against evolving attack strategies.",doi:10.1109/access.2025.3583759,https://www.researchgate.net/publication/393113203_Meticulous_Thought_Defender_Fine-grained_Chain-of-Thought_CoT_for_Detecting_Prompt_Injection_Attacks_of_Large_Language_Models,Página pública com texto completo indicada na verificação da seleção.
