study_key,sources,source_count,title,abstract,authors,year,doi,url,venue,screening_status,n_evaluations,relevance_score,score_range_if_repeated,confidence,hard_exclude,study_type,contribution_types,contexts,reason,priority_band
doi:10.1109/icca66035.2025.11430791,['IEEE'],1,Cross-Agent Multimodal Provenance-Aware Framework for Robust Prompt Injection Defense in Large Language and Vision-Language Models,"Large Language Models (LLMs), VisionLanguage Models (VLMs), and new agentic AI systems (e.g., LangChain and GraphChain) allow autonomous systems to reason and plan, and to coordinate between an assortment of tools and agents. Nevertheless, this feature also brings vulnerability to multimodal prompt injection (PI) attacks, in which hidden or malicious instructions that are embedded in text, images, metadata, or interagent messages can spread throughout the agent graph, triggering unintended behavior or policy violation, or corrupting a state. To mitigate these threats, this paper will present a Cross-Agent Multimodal Provenance-Aware Defense Framework that will sanitize any user- or agent-generated prompts and validate the output of the LLM independently, prior to their delivery to downstream nodes. The framework incorporates a text sanitizer agent, visual sanitizer agent and an output validator agent which are synchronized by a provenance ledger which documents modality, source and trust metadata throughout the agent network. The architecture implements ordered trust boundaries, so that an injected instruction cannot spread out via LangChain- or GraphChain-style workflows. There are better multimodal PI detection accuracy, lower trust leakage between agents, and more stable agentic execution pathways, all of which are experimentalized. This framework can build secure, interpretable, and reliable agentic AI systems by augmenting the established provenance tracking and validation systems to multi-agent orchestration.","Syed, Toqeer Ali and Almutairi, Mishal Ateeq and Moaty, Mahmoud Abdel",2025,10.1109/icca66035.2025.11430791,,2025 International Conference on Computer and Applications (ICCA),EVALUATED,1,0.9,0.0,0.87,False,PRIMARY_DEFENSE,"['DEFENSE', 'DETECTION', 'EVALUATION', 'FRAMEWORK', 'MITIGATION', 'PREVENTION']","['AGENT', 'EXTERNAL_CONTENT', 'MULTIMODAL', 'MULTI_AGENT', 'UNTRUSTED_INPUT']","O artigo trata diretamente de prompt injection multimodal em sistemas multiagente, incluindo instruções em texto, imagens, metadados e mensagens entre agentes. Propõe sanitização, validação de saída e rastreamento de proveniência, com indicação de avaliação experimental de detecção e propagação de confiança.",0.80–1.00 alta prioridade
doi:10.1109/icicv68925.2026.11554850,['IEEE'],1,Intelligent Multi-Agent Reinforcement Sanitizer for Securing LLM Systems,"LMs are increasingly vulnerable to prompt poisoning, where adversarial instructions cause the model to behave unexpectedly. Current defense mechanisms have been inadequate against attacks that are paraphrased or in another language, as well as against multimodal or multi-turn attacks, and generally lack reliable mechanisms for protecting hidden prompts from the system. This paper describes IMARS, a new multi-agent defense pipeline designed to help defend against prompt poisoning of large language models (LLMs). IMARS integrates multiple elements, including semantic contrastive detection, attention-based anomaly scoring, cryptographic integrity verification, iterative sanitization, temporal analysis, and explainability, to form a new pipeline to protect LLMs. IMARS integrates text and OCR inputs to provide multimodal data for the inspection, while also using drift-aware contextual reasoning to detect changes in attack patterns over time. The goal of IMARS is to create a reliable, near real-time, and interpretable security framework that improves LLM safety against sophisticated prompt poisoning attacks while allowing for transparency in the decision-making process. Experimental validation of IMARS effectiveness in the detection and mitigation of sophisticated prompt injection attempts has shown success across a variety of attack conditions.","P, Pramila and T, Nadana Ravishankar",2026,10.1109/icicv68925.2026.11554850,,2026 7th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),EVALUATED,1,0.9,0.0,0.91,False,PRIMARY_DEFENSE,"['DEFENSE', 'DETECTION', 'EVALUATION', 'FRAMEWORK', 'MITIGATION']","['EXTERNAL_CONTENT', 'GENERAL_LLM', 'MULTIMODAL', 'MULTI_AGENT', 'UNTRUSTED_INPUT']","The paper centers on defending LLMs against prompt poisoning/prompt injection and proposes a multi-agent pipeline combining detection, sanitization, integrity checking, temporal analysis, and multimodal inspection. Experimental validation is stated across multiple attack conditions, although the abstract provides fewer quantitative details than the strongest empirical studies.",0.80–1.00 alta prioridade
doi:10.1109/acdsa67686.2026.11467846,['IEEE'],1,Evolving Security in LLMs: A Study of Jailbreak Attacks and Defenses,"Large Language Models (LLMs) are increasingly popular, powering a wide range of applications. Their widespread use has sparked concerns, especially through jailbreak attacks that bypass safety measures to produce harmful content. In this paper, we present a comprehensive security analysis of large language models (LLMs), addressing critical research questions on the evolution and determinants of model safety. Specifically, we begin by identifying the most effective techniques for detecting jailbreak attacks. Next, we investigate whether newer versions of LLMs offer improved security compared to their predecessors. We also assess the impact of model size on overall security and explore the potential benefits of integrating multiple defense strategies to enhance the security. Our study evaluates both open-source (e.g., LLaMA and Mistral) and closedsource models (e.g., GPT-4) by employing four state-of-the-art attack techniques and assessing the efficacy of three new defensive approaches. Our code and dataset can be found at [1].","Wei, Wenlan and Shang, Zhengchun and Bai, Weiheng",2026,10.1109/acdsa67686.2026.11467846,,"2026 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",EVALUATED,1,0.9,0.0,0.95,False,BENCHMARK_EVALUATION,"['ATTACK', 'BENCHMARK', 'DEFENSE', 'DETECTION', 'EVALUATION']",['GENERAL_LLM'],"O trabalho realiza análise experimental de jailbreaks e defesas, comparando técnicas de ataque, abordagens defensivas, versões e tamanhos de modelos. É diretamente alinhado às questões sobre ataques, detecção, defesa e protocolos de avaliação, embora o resumo não apresente resultados quantitativos detalhados.",0.80–1.00 alta prioridade
doi:10.1007/978-3-032-19770-2_11,['Springer'],1,Comparative Analysis of&#xa0;Jailbreaking Techniques for&#xa0;Large Language Models: A Systematic Evaluation Framework,"Large Language Models (LLMs) exhibit varying degrees of vulnerability to adversarial attacks that bypass their safety mechanisms. This paper presents a systematic evaluation framework for analyzing different jailbreaking methodologies across multiple model architectures. We introduce a comprehensive framework for quantifying the effectiveness of the jailbreaking technique in 13 distinct categories of harmful content. Our framework enables reproducible comparisons between different attack vectors and provides insight into scale-dependent vulnerability patterns. The evaluations performed on the framework shows how model architecture and parameter count influence resistance to different attack types, revealing important relationships between model capabilities and security vulnerabilities.",Pablo VellosilloAna Garcia-FornesJose SuchElena del Val,2026,10.1007/978-3-032-19770-2_11,https://link.springer.com/chapter/10.1007/978-3-032-19770-2_11,Computational Intelligence in Security for Information Systems,EVALUATED,1,0.9,0.0,0.96,False,BENCHMARK_EVALUATION,"['ATTACK', 'BENCHMARK', 'EVALUATION', 'FRAMEWORK']",['GENERAL_LLM'],Apresenta um framework sistemático para comparar técnicas de jailbreak entre arquiteturas e categorias de conteúdo nocivo. O foco em comparação reproduzível de vetores de ataque e padrões de vulnerabilidade é diretamente útil para caracterizar ataques e protocolos de avaliação.,0.80–1.00 alta prioridade
doi:10.1007/978-981-95-3072-4_6,['Springer'],1,Detection Method for&#xa0;Prompt Injection by&#xa0;Integrating Pre-trained Model and&#xa0;Heuristic Feature Engineering,"To address prompt injection threats in LLMs, we propose DMPI-PMHFE, a dual-channel feature fusion framework that integrates DeBERTa with heuristic feature engineering. The framework transforms input text into semantic vectors while extracting explicit structural features through attack-pattern-based heuristic rules. Features from both channels are fused via fully connected networks for final classification. This approach mitigates limitations of single-channel feature extraction. Experimental results demonstrate that DMPI-PMHFE outperforms existing methods in accuracy, recall, and F1-score across diverse benchmark datasets. When deployed on mainstream LLMs (GLM-4, LLaMA 3, Qwen 2.5, and GPT-4o), it significantly reduces attack success rates.",Yi JiRunzhi LiBaolei Mao,2026,10.1007/978-981-95-3072-4_6,https://link.springer.com/chapter/10.1007/978-981-95-3072-4_6,"Knowledge Science, Engineering and Management",EVALUATED,1,0.9,0.0,0.96,False,DETECTION,"['DETECTION', 'EVALUATION', 'MITIGATION']",['GENERAL_LLM'],"Propõe um detector específico de prompt injection que combina DeBERTa e atributos heurísticos estruturais. A avaliação usa diversos benchmarks, métricas de classificação e implantação em quatro LLMs, incluindo impacto sobre a taxa de sucesso dos ataques.",0.80–1.00 alta prioridade
doi:10.1007/978-981-95-3537-8_22,['Springer'],1,Secure Guard: A Semantic-Based Jailbreak Prompt Detection Framework for&#xa0;Protecting Large Language Models,"Large language models (LLMs) have made significant progress in the field of natural language processing. Through training, they can understand natural language texts and demonstrate impressive abilities in language processing and generation. However, due to the presence of “competing objectives” and “mismatched generalization” in LLMs, they are susceptible to jailbreak attacks. This type of attack can bypass the safety alignment mechanism of the model, causing LLMs to generate inappropriate or harmful content. To address this issue, this paper proposes a semantic-based jailbreak attack detection method. We have designed a hybrid neural network architecture called Secure Guard to improve the detection effectiveness and accuracy of jailbreak attacks. Compared with existing defense methods, this model identifies harmful content by analyzing input semantic information, solving the low coverage and false alarm problems associated with jailbreak attacks. Experimental results have shown that Secure Guard achieves state-of-the-art performance on multiple test sets.",Sixin FangKe ChengJixin ZhangZheng QinMingwu Zhang,2026,10.1007/978-981-95-3537-8_22,https://link.springer.com/chapter/10.1007/978-981-95-3537-8_22,Information and Communications Security,EVALUATED,1,0.9,0.0,0.96,False,DETECTION,"['DEFENSE', 'DETECTION', 'EVALUATION', 'FRAMEWORK']","['CYBERSECURITY', 'GENERAL_LLM']","O estudo tem jailbreak como foco central e propõe um framework semântico de detecção, comparado com métodos de defesa existentes. O resumo relata avaliação experimental em múltiplos conjuntos de teste, mas o contexto de aplicação permanece geral para LLMs.",0.80–1.00 alta prioridade
doi:10.1109/bigdata66926.2025.11400893,['IEEE'],1,JADE: Jailbreak-Aware Dynamic Defense Enhancer for LLMs Via Reinforcement Learning,"Adversarial attacks pose significant threats to Large Language Models (LLMs), enabling malicious actors to generate harmful content through carefully crafted prompts. To address this challenge, we propose JADE: Jailbreak-Aware Dynamic Defense Enhancer, a novel reinforcement learning framework that dynamically enhances LLM robustness against jailbreak attacks. JADE employs a three-model architecture—Jailbreak Prompt Optimizer, Target Model, and Safety Evaluator—that engage in closed-loop adversarial training using Proximal Policy Optimization (PPO). The framework enables continuous co-evolution of attack and defense strategies through iterative policy updates. Extensive experiments across multiple benchmarks demonstrate JADE's superior performance, significantly reducing attack success rates while maintaining model utility compared to state-of-the-art defense methods.","Li, Laizhen and Zhao, Peicheng and Gao, Xitong and Zhao, Juanjuan and Ye, Kejiang",2025,10.1109/bigdata66926.2025.11400893,,2025 IEEE International Conference on Big Data (BigData),EVALUATED,1,0.9,0.0,0.96,False,PRIMARY_DEFENSE,"['DEFENSE', 'EVALUATION', 'FRAMEWORK', 'MITIGATION']",['GENERAL_LLM'],"Propõe uma defesa dinâmica especificamente contra jailbreak, baseada em treinamento adversarial com otimizador de prompts, modelo alvo e avaliador de segurança. O resumo informa experimentos em múltiplos benchmarks e redução de ASR preservando utilidade, embora não detalhe valores quantitativos.",0.80–1.00 alta prioridade
doi:10.1109/dsn-s65789.2025.00037,['IEEE'],1,To Protect the LLM Agent Against the Prompt Injection Attack with Polymorphic Prompt,"LLM agents are widely used as agents for customer support, content generation, and code assistance. However, they are vulnerable to prompt injection attacks, where adversarial inputs manipulate the model’s behavior. Traditional defenses like input sanitization, guard models, and guardrails are either cumbersome or ineffective. In this paper, we propose a novel, lightweight defense mechanism called Polymorphic Prompt Assembling (PPA), which protects against prompt injection with near-zero overhead. The approach is based on the insight that prompt injection requires guessing and breaking the structure of the system prompt. By dynamically varying the structure of system prompts, PPA prevents attackers from predicting the prompt structure, thereby enhancing security without compromising performance. We conducted experiments to evaluate the effectiveness of PPA against existing attacks and compared it with other defense methods.","Wang, Zhilong and Nagaraja, Neha and Zhang, Lan and Bahsi, Hayretdin and Patil, Pawan and Liu, Peng",2025,10.1109/dsn-s65789.2025.00037,,2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S),EVALUATED,1,0.9,0.0,0.96,False,PRIMARY_DEFENSE,"['DEFENSE', 'EVALUATION', 'MITIGATION', 'PREVENTION']","['AGENT', 'GENERAL_LLM']","O trabalho propõe especificamente uma defesa leve contra prompt injection em agentes LLM, baseada em variação dinâmica da estrutura do system prompt. O resumo informa experimentos contra ataques existentes e comparação com outras defesas, tornando-o diretamente relevante para mitigação.",0.80–1.00 alta prioridade
doi:10.1109/icecet65726.2026.11632629,['IEEE'],1,"Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages","Industrial IoT diagnostics require integrating diverse evidence streams, such as telemetry, event logs, configuration snapshots, and operational knowledge bases, while adhering to safety and security requirements. Tool-augmented retrieval-augmented generation (RAG) facilitates this integration by merging retrieval processes with the regulated use of tools. In Operational Technology (OT) settings, two primary risks associated with deployment are: (i) indirect prompt injection through retrieved materials or tool outputs, which can disrupt the model context and result in behavior that contradicts established policies; and (ii) limited visibility caused by tool failures, gaps in telemetry, and delayed logging, which diminishes evidential support and raises the chances of producing unsubstantiated outputs. This paper examines a protocol-aligned architecture that integrates MCP-exposed tools within a defense-in-depth RAG pipeline. The approach employs hybrid retrieval and reranking, instruction-aware content filtering, typed least-privilege tool mediation with audit logging, evidence-bound generation with citation enforcement, and outage-aware abstention policies. An OT-oriented stress-test suite is defined based on prior RAG security evaluations, and utility, security, and degradation metrics are reported using a proprietary multi-site IIoT dataset. The findings indicate the importance of treating retrieval and tool interfaces as distinct security boundaries in industrial diagnostic assistants.","Ersoy, Pınar and Erşahin, Mustafa",2026,10.1109/icecet65726.2026.11632629,,"2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)",EVALUATED,1,0.9,0.0,0.96,False,PRIMARY_DEFENSE,"['DEFENSE', 'EVALUATION', 'FRAMEWORK', 'MITIGATION', 'PREVENTION']","['CYBERSECURITY', 'EXTERNAL_CONTENT', 'GENERAL_LLM', 'RAG', 'UNTRUSTED_INPUT']","Indirect prompt injection em materiais recuperados ou saídas de ferramentas é uma das ameaças principais tratadas por uma arquitetura RAG defensiva em profundidade. O estudo define stress tests e reporta métricas de utilidade, segurança e degradação, com forte aderência a RAG e conteúdo externo.",0.80–1.00 alta prioridade
doi:10.1109/tdsc.2026.3709894,['IEEE'],1,Efficient Prompt Security Detection for LLM Service Deployment in Edge-Cloud Networks,"While Large Language Models (LLMs) have achieved revolutionary advancements in natural language processing, their inherent vulnerability to prompt injection attacks has raised significant security concerns. Existing security detection approaches for LLM deployment often fail to fully leverage edge-cloud collaboration and largely overlook the issue of user heterogeneity, resulting in reduced detection efficiency and security risks. To address these challenges, this paper proposes a Belief-updating and User-aware Security (BUUAS) framework for LLM service deployment in edge–cloud networks. BUUAS integrates a Bayesian-inspired belief update method with a belief-weighted contextual multi-armed bandit (BWCB) mechanism to achieve dynamic and user-aware scheduling of security detection tasks. This design enables the system to prioritize high-risk requests while improving overall task allocation and execution efficiency. Extensive experimental results demonstrate that BUUAS outperforms state-of-the-art methods in terms of detection accuracy, network throughput, and resource efficiency in dynamic network conditions characterized by fluctuating user loads and varying malicious user ratios.","Chen, Wenjing and Cui, Jie and Huang, Wenjie and Zhang, Jing and Wei, Lu and Min, Geyong",2026,10.1109/tdsc.2026.3709894,,IEEE Transactions on Dependable and Secure Computing,EVALUATED,1,0.9,0.0,0.96,False,DETECTION,"['DETECTION', 'EVALUATION', 'FRAMEWORK']","['CYBERSECURITY', 'GENERAL_LLM']","O trabalho trata diretamente da detecção de segurança para ataques de prompt injection em serviços LLM. Propõe um framework de detecção e escalonamento e reporta avaliação experimental de acurácia, throughput e eficiência.",0.80–1.00 alta prioridade
