_screen_index,database,evaluation_file,screening_id,screening_title,status,matched_title,best_candidate_title,best_candidate_doi,match_method,match_score,margin
0,IEEE,IEEE_S1_batch_001-020.jsonl,11673101,RIPPLE: Differential Testing of Exact-Value Restoration Boundaries in Privacy-Preserving LLM Pipelines,MATCHED,RIPPLE: Differential Testing of Exact-Value Restoration Boundaries in Privacy-Preserving LLM Pipelines,RIPPLE: Differential Testing of Exact-Value Restoration Boundaries in Privacy-Preserving LLM Pipelines,10.1109/access.2026.3729141,ID_EXACT,1.0,
1,IEEE,IEEE_S1_batch_001-020.jsonl,11663676,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,MATCHED,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,EB-AIOps: Evidence-Bound and Injection-Resilient Intelligent Triage for Cloud Security Logs,10.1109/insect68872.2026.11663676,ID_EXACT,1.0,
2,IEEE,IEEE_S1_batch_001-020.jsonl,11667790,Semantic Isomorphism Attacks and Defense Evaluation for Jailbreaking Large Language Models,MATCHED,Semantic Isomorphism Attacks and Defense Evaluation for Jailbreaking Large Language Models,Semantic Isomorphism Attacks and Defense Evaluation for Jailbreaking Large Language Models,10.1109/taslpro.2026.3727929,ID_EXACT,1.0,
3,IEEE,IEEE_S1_batch_001-020.jsonl,11670335,"PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift",MATCHED,"PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift","PIDS-Bench: Evaluating Prompt-Injection Detectors Under Over-Defense, Obfuscation, and Distribution Shift",10.1109/access.2026.3728186,ID_EXACT,1.0,
4,IEEE,IEEE_S1_batch_001-020.jsonl,11661842,Hybrid Feature Representation and Deep Anomaly Detection for Jailbreak Prompt Defense,MATCHED,Hybrid Feature Representation and Deep Anomaly Detection for Jailbreak Prompt Defense,Hybrid Feature Representation and Deep Anomaly Detection for Jailbreak Prompt Defense,10.1109/peccii70991.2026.11661842,ID_EXACT,1.0,
5,IEEE,IEEE_S1_batch_001-020.jsonl,11662091,"Prompt Firewalls for Securing Large Language Model Systems: Threats, Architectures, and Design Trade-offs",MATCHED,"Prompt Firewalls for Securing Large Language Model Systems: Threats, Architectures, and Design Trade-offs","Prompt Firewalls for Securing Large Language Model Systems: Threats, Architectures, and Design Trade-offs",10.1109/peccii70991.2026.11662091,ID_EXACT,1.0,
6,IEEE,IEEE_S1_batch_001-020.jsonl,11666482,Evil-AI Benchmark: An Evaluation Framework for Adversarial Security Assessment of LLM Agents in Smart Environments,MATCHED,Evil-AI Benchmark: An Evaluation Framework for Adversarial Security Assessment of LLM Agents in Smart Environments,Evil-AI Benchmark: An Evaluation Framework for Adversarial Security Assessment of LLM Agents in Smart Environments,10.1109/access.2026.3727159,ID_EXACT,1.0,
7,IEEE,IEEE_S1_batch_001-020.jsonl,11662524,VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,MATCHED,VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities,10.1109/aitest70988.2026.00022,ID_EXACT,1.0,
8,IEEE,IEEE_S1_batch_001-020.jsonl,11662272,Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access,MATCHED,Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access,Securing Autonomous Clinical Agents: Time-Scoped Hypergraph Delegation for Controlling Patient Data Access,10.1109/icdh72779.2026.00047,ID_EXACT,1.0,
9,IEEE,IEEE_S1_batch_001-020.jsonl,11657880,SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models,MATCHED,SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models,SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models,10.1109/aeect69724.2026.11657880,ID_EXACT,1.0,
10,IEEE,IEEE_S1_batch_001-020.jsonl,11664419,TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows,MATCHED,TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows,TrustTrace: Provenance-Aware Tracing of Indirect Prompt Injection Propagation in LLM-Assisted Learning Workflows,10.1109/access.2026.3726909,ID_EXACT,1.0,
11,IEEE,IEEE_S1_batch_001-020.jsonl,11664033,Auditable LLM Safety-Judge Selection via Confidence-Interval Filtering on Unsafe Recall,MATCHED,Auditable LLM Safety-Judge Selection via Confidence-Interval Filtering on Unsafe Recall,Auditable LLM Safety-Judge Selection via Confidence-Interval Filtering on Unsafe Recall,10.1109/access.2026.3726251,ID_EXACT,1.0,
